"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date.creation","Scribe","Author","Associated name","Contributors","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection","Other version(s)","IIIF Manifest URL","delivery","image count","Viscodex"
"","","Sinai, St. Catherine’s Monastery, Arabic 134","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mg9p1f%2Ffb88c95z/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1mg9p1f","Work","Lectionary (Gospels)","Evangelion","","1601/1700","17th c. CE","","","","","","","","","Kamil","","watermark of bird (f. 381)","378 ff.","2382.6 g","Codex","255 x 194 x 103.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 134","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891623","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mg9p1f/manifest","delivery 8.1","",""
"","","Sinai, St. Catherine’s Monastery, Arabic 156","Commentary on the Epistles by John Chrysostom","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq8x9q%2Fp1893w82/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1gq8x9q","Work","Acts of the Apostles ; Epistles of St. Paul ; Catholic Epistles ; Lectionary Tables","Bible. Acts|~|Bible. Epistles|~|Lectionary","","1316","1316 CE","","John Chrysostom, Saint, -407","","","Each Epistle is preceded by an introduction followed by lectionary tables and commentaries by St. John Chrysostom","","","","Kamil","","","252 ff.","1185.1 g","Codex","212 x 157 x 97.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Lectionaries|~|Liturgical texts|~|Commentaries","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 156","Old Collection","https://www.loc.gov/item/00279384362-ms/","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gq8x9q/manifest","delivery 8.1","",""
"","","Sinai, St. Catherine’s Monastery, Arabic 200","Canon of Obeisance of Andrew Bishop of Crete ; Canon of Our Lady by the Philosopher Eugenius of Constantinople","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c26w01%2Ftv37t00z/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1c26w01","Work","Kathismata ; Hours of the Vigil of the Nativity","Horologion|~|Bible. Psalms|~|Psalter","","1201/1300","13th c. CE","","","Andrew, of Crete, Saint, approximately 660-740","","","","","","Kamil","","","174 ff.","797.1 g","Codex","217 x 155 x 59.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Biblical texts|~|Hymnals","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 200","Old Collection","https://www.loc.gov/item/00279384556-ms/","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c26w01/manifest","delivery 8.1","",""
"","","Sinai, St. Catherine’s Monastery, Arabic 237","Prayers, Theotokia","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz179646s%2Ft084j63v/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z179646s","Work","","Bible. Psalms|~|Troparion","","1201/1300","13th c. CE","","","","","Ff.1-2, 403-404 are palimpsest and made from parchment.","","","","Kamil","","","404 ff.","826.8 g","Codex","164 x 135 x 116.0 mm","Paper|~|Parchment","","","","","","","","","Palimpsest","","text","Liturgical texts|~|Hymnals|~|Biblical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 237","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871400","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz179646s/manifest","delivery 8.1","",""
"","","Sinai, St. Catherine’s Monastery, Arabic 273","Mimars by St. Gregory the Theologian","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j5cfm%2Fgt82fv9q/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z13j5cfm","Work","","","","1216","1216 CE","","Gregory, of Nazianzus, Saint","","","","","","","Kamil","","","507 ff.","3562.4 g","Codex","271 x 201 x 138.0 mm","Paper","","","","","","","","","","","text","Theological works","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 273","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003870994","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13j5cfm/manifest","delivery 8.1","",""
"","","Sinai, St. Catherine’s Monastery, Arabic 291","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4w0s%2Fw9785m8d/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1zs4w0s","Work","Commentary on the Gospel of St. John by St. John Chrysostom, Part I","John Chrysostom, Saint, -407. Homilies on John","","1201/1300","13th c. CE","","John Chrysostom, Saint, -407","","","Commentary in 44 discourses","","","","Kamil","","","408 ff.","2659.8 g","Codex","267 x 187 x 104.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Commentaries","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 291","Old Collection","https://www.loc.gov/item/00279383989-ms/","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zs4w0s/manifest","delivery 8.1","",""
"","","Sinai, St. Catherine’s Monastery, Arabic 385","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v14496%2Fzf62qq46/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1v14496","Work","St. Nicon the Hermit: Pandectes","Nikon of the Black Mountain, ca. 1025-ca. 1100. Pandektēs","","1224","1224 CE","","Nikon of the Black Mountain, ca. 1025-ca. 1100","","","","","","","Kamil","","","454 ff.","2671.6 g","Codex","265 x 190 x 128.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Apophthegmata","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 385","Old Collection","https://www.loc.gov/item/0027938975A-ms/","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v14496/manifest","delivery 8.1","",""
"","","Sinai, St. Catherine’s Monastery, Arabic 390","Canons of Oecumenical Councils ; The Twelve Chapters of St. Cyril’s excommunication of Nestorius","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k68ws%2Fcx06914j/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1q83cmx","Work","","","","1164","1164 CE","","","","","","","","","Kamil","","","479 ff.","3172.4 g","Codex","265 x 180 x 115.0 mm","Paper","","","","Decoration of two intertwined serpents, top margin of f. 65r.","","","","","Decoration, Zoomorphic|~|Illustration(s)","","text","Canon law","ara|~|grc","right-to-left","Arabic|~|Greek","Naskh|~|Greek minuscule","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 390","Old Collection","https://www.loc.gov/item/00279389840-ms/","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1q83cmx/manifest","delivery 8.1","",""
"","","Sinai, St. Catherine’s Monastery, Arabic 478","Mimars and discourses by St. Basil ; The Monastic Doctrines of St. Basil ; St. John Chrysostom’s commentary on the Epistles of the Ephesians, Thessalonians, Corinthians, Colossians and Hebrews","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh2mvr%2F9s231s8z/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1kh2mvr","Work","","","","1201/1300","13th c. CE","","John Chrysostom, Saint, -407","Basil, Saint, Bishop of Caesarea, approximately 329-379","","","","","","Kamil","","","243 ff.","839.6 g","Codex","218 x 169 x 55.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Apophthegmata|~|Commentaries","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 478","Old Collection","https://www.loc.gov/item/00279391226-ms/","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kh2mvr/manifest","delivery 8.1","",""
"","","Sinai, St. Catherine’s Monastery, Arabic 526","Canons of Oecumenical Councils","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv0kk6%2F7m46317g/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1fv0kk6","Work","","","","1101/1200","12th c. CE","","","","","","","","","Kamil","","","136 ff.","653.6 g","Codex","265 x 183 x 45.0 mm","Paper","","","","","","","","","","","text","Canon law","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 526","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891685","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fv0kk6/manifest","delivery 8.1","",""
