"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","Related","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date.creation","Scribe","Author","Associated Name","Contributors","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Folio dimensions","Support","Foliation","Collation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Binding condition","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection","Other version(s)","IIIF Manifest URL","delivery","image count","Viscodex"
"","","Sinai, St. Catherine’s Monastery, Arabic 100","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns1z7t%2Fxh343x54/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1ns1z7t","Work","Four Gospels","Bible. Gospels","","1201/1300","13th c. CE","","","","","","","","","Kamil","","","195 ff.","1054.5 g","Codex","260 x 180 x 52 mm","","Paper","","","","","","","","","","","Rubrication|~|Marginalia","f. 1 split. Rodent damage on fore-edge.","text","Biblical texts|~|Gospel books","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 100","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891612 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ns1z7t/manifest","delivery 1","400",""
"","","Sinai, St. Catherine’s Monastery, Arabic 123","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fmp75d739/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1ks7vtv","Work","Lectionary (Gospels)","Evangelion","","1279","1279 CE","","","","","","","","","Kamil","","","196 ff.","1117.7 g","Codex","234 x 151 x 68 mm","","Paper","","","","","","","","","","","Rubrication|~|Dated|~|Marginalia","A few loose leaves","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 123","Old Collection","https://www.loc.gov/item/00279386838-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ks7vtv/manifest","delivery 1","404",""
"","","Sinai, St. Catherine’s Monastery, Arabic 131","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g17437%2Fs326r91f/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1g17437","Work","Lectionary (Gospels)","Evangelion","","1201/1300","13th c. CE","","","","","","","","","Kamil","","","127 ff.","440.0 g","Codex","174 x 149 x 42 mm","","Paper","","","","","","","","Flap binding","","","Rubrication|~|Marginalia","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 131","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891622 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g17437/manifest","delivery 1","267",""
"","","Sinai, St. Catherine’s Monastery, Arabic 14","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc966z%2Fzj22hj63/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1zc966z","Work","","Prophetologion","","1601/1700","17th c. CE","","","","","","""كتاب النّبوات الانبياء القدّيسين الفضلا الاطهار تقری في الصّوم الكبير و ليالي الاعياد الكبار و في تذكارات الرُسل المشرّفين و رؤساء الكهنة  و الشهداء و الابرار"". (f.2)","بسم الاب و الابن و الرّوح القدس الاله الواحد آمين نبتدي بعون الله تعالي [sic] نكتب","تَمّ كتاب النّبوات بمنّة الاله ربَّ القَوّات","Kamil","","","132 ff.","1207.4 g","Codex","315 x 216 x 40 mm","","Paper","","","","","","","","","","","Rubrication|~|Marginalia","","text","Liturgical texts|~|Lectionaries|~|Biblical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 14","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891573 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zc966z/manifest","delivery 1","276",""
"","","Sinai, St. Catherine’s Monastery, Arabic 145","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1989bbg%2Fmn47vt95/full/!200,200/0/default.jpg","","individuals","ark:/21198/z1bk2gmg","ark:/21198/z1989bbg","Work","Commentary (Gospels)","","","1276","1276 CE","","John Chrysostom, Saint, -407","","","Commentary on Gospels to be recited throughout the year, ending with lesson from Epistles of St. Paul and nineteenth discourse by St. John Chrysostom derived from St. Matthew","","","","Kamil","","","165 ff.","603.3 g","Codex","200 x 149 x 46 mm","","Paper","","","","","","","","Flap binding","","","Rubrication|~|Dated|~|Marginalia","First quire detached. A few folia have patches torn away due to damp that caused the folia to adhere to the opposite folio.","text","Theological works|~|Commentaries","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 145","Old Collection","https://www.loc.gov/item/00279384337-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1989bbg/manifest","delivery 1","344",""
"","","Sinai, St. Catherine’s Monastery, Arabic 148","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p239t%2Fxb329g89/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z10p239t","Work","Lectionary (Epistles and Gospels)","Lectionary","","1300","1300 CE","","","","","Lectionary of Epistles followed by Four Gospels divided according to Greek Calendar and ending with Tables of Gospel readings | Tables on ff. 108r. 108v, 141v, 142r,  197r - 198r","","","","Kamil","","","272 ff.","821.0 g","Codex","185 x 150 x 60 mm","","Paper","","","","","Ornate headpiece on f. 57r, series of volutes outlined in red, with an elevated red cross and palmettes on the ends | Headpiece on f. 198v, diamond motif in red; f. 142v, interlace | Minor geometric headpieces on  ff. 50v, 109r, 142r, 198r, 221v, 242v, 246r, 255v, 256v, 258r, 258v | Full-page illustration on f. 56br, cross with decorative border; Full-page illustration on f. 56bv, Matthew the Evangelist in a scriptorium, framed by a semi-circular arch with volutes | Fluerons on ff. 47r, 48v, 49v, 52v, 252v","","","","","","Rubrication|~|Dated|~|Marginalia|~|Headpiece(s)|~|Decoration, Full-page|~|Illustration(s)|~|Decoration, Geometric|~|Table(s)","Only a fragment of the back paste-down remains.","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 148","Old Collection","https://www.loc.gov/item/00279384349-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10p239t/manifest","delivery 1","556",""
"","","Sinai, St. Catherine’s Monastery, Arabic 151","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx1kvk%2Fzq08406g/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1vx1kvk","Work","Epistles and Acts","Bible. Epistles|~|Bible. Acts","","867","867 CE","","","","","Epistles of St. Paul, Acts of Apostles and Catholic Epistles","","","","Kamil","","","269 ff.","2400.0 g","Codex","255 x 175 x 95 mm","","Parchment","","","","","Red borders throughout, beginning on f. 9v | Decoration on f. 16r, cross","","","","","","Rubrication|~|Dated|~|Marginalia|~|Border(s), Decorative|~|Decoration, Geometric","","text","Biblical texts","ara","right-to-left","Arabic","Naskh","Kufic elements","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 151","Old Collection","https://www.loc.gov/item/00279384404-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vx1kvk/manifest","delivery 1","548",""
"","","Sinai, St. Catherine’s Monastery, Arabic 153","Martyrdoms and Lives of Saints","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r79jjb%2Fxv77rt3k/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1r79jjb","Work","","","","1151","1151 CE","","John Chrysostom, Saint, -407","","","Martyrdom of St. George ; Acts of St. Isaiah the Miracle-Maker ; Nativity of Our Lady ; Forty martyrs of Sebastia ; Eleven Gospel chapters recited on Sundays ; Mimar by St. John Chrysostom on St. John Baptist ; A hymn ; Gospel commentary","","","","Kamil","","","232 ff.","571.5 g","Codex","169 x 142 x 65 mm","","Paper","Inside front board and inside back board have foliation that are lacking","","","","","","","","","","Rubrication|~|Dated","Slight damage to text legibility on inside front board","text","Historical works|~|Martyrologies","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 153","Old Collection","https://www.loc.gov/item/00279384398-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r79jjb/manifest","delivery 1","474",""
"","","Sinai, St. Catherine’s Monastery, Arabic 161","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mg8stm%2Fg819b91h/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1mg8stm","Work","","Bible. Epistles of Paul","","1101/1200","12th c. CE","","","","","","","","","Kamil","","","277 ff.","697.0 g","Codex","196 x 136 x 63 mm","","Paper|~|Parchment","f. 31 written as ""3""","","","","","","","","","","Rubrication|~|Marginalia","Front and back board lacking","text","Biblical texts","ara|~|grc","right-to-left","Arabic|~|Greek","Greek minuscule|~|Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 161","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891580 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mg8stm/manifest","delivery 1","563",""
"","","Sinai, St. Catherine’s Monastery, Arabic 165","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq821s%2Fx439jw53/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1gq821s","Work","","Bible. Epistles","","1488","1488 CE","","","","","","","","","Kamil","","","276 ff.","1266.4 g","Codex","247 x 181 x 57 mm","","Paper","","","","","Decoration on  ff. 269v,  271v, 272r, 273r,  273v, knot with a cross","","","","","","Rubrication|~|Dated|~|Marginalia|~|Decoration, Geometric","","text","Biblical texts","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 165","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891630 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gq821s/manifest","delivery 1","562",""
