"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date.creation","Scribe","Author","Associated name","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection (physical)","Other version(s)","IIIF Manifest URL","delivery","image count"
"","","St. Catherine’s Monastery, Sinai Arabic 118","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z8n0f%2Fnx38hh90/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z10z8n0f","Work","Lectionary (Gospels), With commentary on some lessons by St. John Chrysostom","Evangelion","","1254","1254","","John Chrysostom, Saint, -407","","","","","","Kamil","","","238 ff.","1823.7 g","codex","262 x 183 x 85.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books|~|Commentaries","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 118","Sinai. Old Collection","https://www.loc.gov/item/00279386863-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz10z8n0f/manifest","6.2","484"
"","","St. Catherine’s Monastery, Sinai Arabic 128","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w684hf%2Fsq510d2r/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1w684hf","Work","Lectionary (Gospels)","Evangelion","","1201/1300","13th c.","","","","","","","","Kamil","","","274 ff.","2034.6 g","codex","258 x 186 x 89.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books","ara|~|syc","right-to-left","Arabic|~|Syriac","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 128","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891620/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w684hf/manifest","6.2","557"
"","","St. Catherine’s Monastery, Sinai Arabic 147","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf7cr8%2Fgd29jc4s/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1rf7cr8","Work","Four Gospels and Epistles of St. Paul","Bible. Gospels|~|Bible. Epistles of Paul","","1201/1300","13th c.","","","","","","","","Kamil","","","275 ff.","849 g","codex","208 x 161 x 66.0 mm","Paper","f.270 written as f.290","","","","","","","","","","text","Biblical texts|~|Gospel books","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 147","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891626/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rf7cr8/manifest","6.2","558"
"","","St. Catherine’s Monastery, Sinai Arabic 158","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp6mzn%2F1382fz4b/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1mp6mzn","Work","","Bible. Acts|~|Bible. Epistles","","1232","1232","","John Chrysostom, Saint, -407","","Acts of the Apostles and Epistles of St. Paul preceded by introduction and table of contents, and followed by St. John Chrysostom’s commentary on the Acts and a table of lessons from both Acts and Epistles","","","","Kamil","","","181 ff.","1603.5 g","codex","276 x 211 x 61.0 mm","Paper","","","","","","","","","Dated","","text","Biblical texts","ara|~|grc","right-to-left","Arabic|~|Greek","Naskh|~|Greek minuscule","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 158","Sinai. Old Collection","https://www.loc.gov/item/00279384428-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mp6mzn/manifest","6.2","372"
"","","St. Catherine’s Monastery, Sinai Arabic 166","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx5w7b%2F9h84r86v/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1gx5w7b","Work","","Bible. Epistles","","1101/1200","12th c.","","","","","","","","Kamil","","","268 ff.","517.1 g","codex","150 x 102 x 64.0 mm","Paper","","","","","","","","","","","text","Biblical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 166","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891631/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gx5w7b/manifest","6.2","546"
"","","St. Catherine’s Monastery, Sinai Arabic 17","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v6zq3%2F7v61bn9q/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z11v6zq3","Work","","Prophetologion","","1201/1300","13th c.","","","","","","","","Kamil","","","200 ff.","633 g","codex","149 x 127 x 67.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Lectionaries|~|Biblical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 17","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891576/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz11v6zq3/manifest","6.2","410"
"","","St. Catherine’s Monastery, Sinai Arabic 181","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c554jr%2Fp908fd2b/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1c554jr","Work","","Horologion","","1238","1238","","","","","","","","Kamil","","","143 ff.","759.2 g","codex","173 x 152 x 65.0 mm","Paper","","","","Headpieces on ff. 45v, 68r, 94v, 112v ; Decorative knot on f. 127v","","","","","Dated|~|Headpiece(s)|~|Decoration, Geometric","","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 181","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891639/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c554jr/manifest","6.2","294"
"","","St. Catherine’s Monastery, Sinai Arabic 191","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d4cxc%2Fhw13542d/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z17d4cxc","Work","","Horologion","","1201/1300","13th c.","","","","","","","","Kamil","","","137 ff.","508.9 g","codex","156 x 136 x 65.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 191","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891647/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz17d4cxc/manifest","6.2","282"
"","","St. Catherine’s Monastery, Sinai Arabic 192","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r2bkx%2F4d46xc1d/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z13r2bkx","Work","","Horologion","","1201/1300","13th c.","","","","","","","","Kamil","","","130 ff.","276.8 g","codex","145 x 120 x 39.0 mm","Paper","","","","Headpieces on ff. 46v, 69v","","","","","Headpiece(s)","","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 192","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891648/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz13r2bkx/manifest","6.2","264"
"","","St. Catherine’s Monastery, Sinai Arabic 207","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1001kwz%2F6401fw87/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1001kwz","Work","","Horologion","","1644","1644","","","","","","","","Kamil","","","180 ff.","322.4 g","codex","152 x 115 x 43.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 207","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871389/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1001kwz/manifest","6.2","370"
