File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.copyrightStatus,Rights.statementLocal,AltTitle.other,AltTitle.uniform,Place of origin,Date.normalized,Date binding,Date.creation,Scribe,Illuminator,Rubricator,Author,Commentator,Compiler,Translator,Subject name,Subject topic,Subject place,Subject temporal,Summary,Contents,Colophon,Incipit,Explicit,Motif,Bibliography,References,Provenance,Signature,General note,Physical Description,Format.extent,Format,Format.dimensions,Support,Foliation,Collation,Page layout,Writing and hands,Illustrations note,Inscription,Additions,Binding note,Ink color,Features,Condition note,Type.typeOfResource,Type.genre,Language,Text direction,Writing system,Script,Script note,Rights holder,Rights access,Licensing (?),Rights contact,Name.repository,AltIdentifier.local,Series,Collection (physical),Undertext object(s),Overtext mss,Other version,Ms cataloger/scholar,(originator of the digitized object),Lens make | Lens model,Aperature,Camera Operator
,,discovery,"Sinai Arabic 57. Psalms and Cantica : manuscript [ca 17th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,21198/z1bk2gmg,ark:/21198/z15q60cw,Work,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ,المَزامير|~|زبور داوود النّبي,Bible. Psalms,,1600/1699,,17th c.,,,,"Antiochus, monk of Palestine, active 7th century",,,,,,,,,Mimars of Antiochus the Monk,,,,,,"Kamil, Gibson",,,,,184 ff. ; 344.5 g,Codex,160 x 114 x 39 mm,Paper,,,,,,,Greek marginalia,,,Rubrication|~|Marginalia,,text,Psalms|~|Liturgical books|~|Manuscripts,ara,right-to-left,Arabic,,,,,,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 57,,Sinai. Old Collection,,,http://merhav.nli.org.il/primo-explore/fulldisplay?docid=NNL_ALEPH003891599&context=L&vid=NLI&search_scope=Local&tab=default_tab&lang=en_US,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",Schneider | APO-DIGITAR 120/5.6 SES,11,The Holy Monastery of Saint Catherine Sinai | Kasotakis Vasilios | Galanis Lampros
,,discovery,"Sinai Arabic 60. Psalms and Cantica : manuscript [ca 17th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,21198/z1bk2gmg,ark:/21198/z11z57pm,Work,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ,المَزامير|~|زبور داوود النّبي,Bible. Psalms,,1600/1699,,17th c.,,,,,,,,,,,,,,,,,,,Kamil,,,,,83 ff. ; 516.7 g,Codex,211 x 154 x 29 mm,Paper,,,,,,,,,,,,text,Psalms|~|Liturgical books|~|Manuscripts,ara,right-to-left,Arabic,,,,,,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 60,,Sinai. Old Collection,,,http://merhav.nli.org.il/primo-explore/fulldisplay?docid=NNL_ALEPH003891602&context=L&vid=NLI&search_scope=Local&tab=default_tab&lang=en_US,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",Schneider | APO-DIGITAR 90/4.8 SES,11,The Holy Monastery of Saint Catherine Sinai | Kasotakis Vasilios | Galanis Lampros
,,discovery,"Sinai Arabic 65. Psalter and Commentary : manuscript, 1200. St. Catherine's Monastery, Sinai, Egypt",,paged,21198/z1bk2gmg,ark:/21198/z1x64r73,Work,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ,,,,1200,,1200,,,,,,,,,,,,,,,,,,,Kamil,,,,,258 ff. ; 938.8 g,Codex,185 x 146 x 69 mm,Paper,,,,,,,,,,,,text,Psalters|~|Liturgical books|~|Manuscripts,ara,right-to-left,Arabic,,,,,,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 65,,Sinai. Old Collection,,,http://www.loc.gov/item/00279385950-ms/ ,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",Schneider | APO-DIGITAR 120/5.6 SES,11,The Holy Monastery of Saint Catherine Sinai | Kasotakis Vasilios | Galanis Lampros
,,discovery,"Sinai Arabic 67. Psalms and Commentary : manuscript, 1537. St. Catherine's Monastery, Sinai, Egypt",,paged,21198/z1bk2gmg,ark:/21198/z1sf40hr,Work,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ,المَزامير|~|زبور داوود النّبي,Bible. Psalms,,1537,,1537,,,,,,,,,,,,,,,,,,,"Kamil, Gibson",,,,,218 ff. ; 1227.0 g,Codex,235 x 160 x 77 mm,Paper,,,,,,,,,,,A few loose leaves,text,Psalms|~|Manuscripts,ara,right-to-left,Arabic,,,,,,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 67,,Sinai. Old Collection,,,http://merhav.nli.org.il/primo-explore/fulldisplay?docid=NNL_ALEPH003891606&context=L&vid=NLI&search_scope=Local&tab=default_tab&lang=en_US,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",Schneider | APO-DIGITAR 90/4.8 SES,11,The Holy Monastery of Saint Catherine Sinai | Kasotakis Vasilios | Galanis Lampros
,,discovery,"Sinai Arabic 100. Four Gospels and Lectionary : manuscript [ca 13th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,21198/z1bk2gmg,ark:/21198/z1ns1z7t,Work,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ,,Bible. Gospels,,1200/1299,,13th c.,,,,,,,,,,,,,,,,,,,"Kamil, Gibson",,,,,195 ff. ; 1054.5 g,Codex,260 x 180 x 52 mm,Paper,,,,,,,,,,,f. 1 split. Rodent damage on fore-edge.,text,Sacred works|~|Lectionaries|~|Manuscripts,ara,right-to-left,Arabic,,,,,,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 100,,Sinai. Old Collection,,,http://merhav.nli.org.il/primo-explore/fulldisplay?docid=NNL_ALEPH003891612&context=L&vid=NLI&search_scope=Local&tab=default_tab&lang=en_US,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",Schneider | APO-DIGITAR 120/5.6 SES | APO-DIGITAR 90/4.8 SES,11,The Holy Monastery of Saint Catherine Sinai | Kasotakis Vasilios | Galanis Lampros
,,discovery,"Sinai Arabic 123. Lectionary (Gospels) : manuscript, 1249. St. Catherine's Monastery, Sinai, Egypt",,paged,21198/z1bk2gmg,ark:/21198/z1ks7vtv,Work,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ,,,,1249,,1249,,,,,,,,,,,,,,,,,,,,,,,,196 ff. ; 1117.7 g,Codex,234 x 151 x 68 mm,Paper,,,,,,,,,,,A few loose leaves,text,Lectionaries|~|Manuscripts,ara,right-to-left,Arabic,,,,,,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 123,,Sinai. Old Collection,,,http://www.loc.gov/item/00279386838-ms/ ,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, EarlyManuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",Schneider | APO-DIGITAR 90/4.8 SES,11,The Holy Monastery of Saint Catherine Sinai | Kasotakis Vasilios | Galanis Lampros
,,discovery,"Sinai Arabic 131. Lectionary (Gospels) : manuscript [ca 13th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,21198/z1bk2gmg,ark:/21198/z1g17437,Work,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ,,,,1200/1299,,13th c.,,,,,,,,,,,,,,,,,,,,,,,,127 ff. ; 440.0 g,Codex,174 x 149 x 42 mm,Paper,,,,,,,,Flap binding,,,,text,Lectionaries|~|Manuscripts,ara,right-to-left,Arabic,,,,,,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 131,,Sinai. Old Collection,,,http://merhav.nli.org.il/primo-explore/fulldisplay?docid=NNL_ALEPH003891622&context=L&vid=NLI&search_scope=Local&tab=default_tab&lang=en_US,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, EarlyManuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",Schneider | APO-DIGITAR …,11,The Holy Monastery of Saint Catherine Sinai | Kasotakis Vasilios | Galanis Lampros
,,discovery,"Sinai Arabic 145. Commentary (Gospels) : manuscript, 1276. St. Catherine's Monastery, Sinai, Egypt",,paged,21198/z1bk2gmg,ark:/21198/z1989bbg,Work,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ,,,,1276,,1276,,,,,,,,,,,,,,,,,,,,,,,,165 ff. ; 603.3 g,Codex,200 x 149 x 46 mm,Paper,,,,,,,,Flap binding,,,First quire detached. A few folia have patches torn away due to damp that caused the folia to adhere to the opposite folio.,text,Sermons|~|Manuscripts,ara,right-to-left,Arabic,,,,,,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 145,,Sinai. Old Collection,,,http://www.loc.gov/item/00279384337-ms/ ,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, EarlyManuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",Schneider | APO-DIGITAR 120/5.6 SES,11,The Holy Monastery of Saint Catherine Sinai | Kasotakis Vasilios | Galanis Lampros
,,discovery,"Sinai Arabic 148. Lectionary (Epistles) : manuscript, 1300. St. Catherine's Monastery, Sinai, Egypt",,paged,21198/z1bk2gmg,ark:/21198/z10p239t,Work,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ,,,,1300,,1300,,,,,,,,,Bible. Epistles of Paul--Theology,,,,,,,,,,,,,,,272 ff. ; 821.0 g,Codex,185 x 150 x 60 mm,Paper,,,,,,,,,,Illumination,Only a fragment of the back paste-down remains.,text,Lectionaries|~|Manuscripts,ara,right-to-left,Arabic,,,,,,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 148,,Sinai. Old Collection,,,http://www.loc.gov/item/00279384349-ms/ ,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, EarlyManuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",Schneider | APO-DIGITAR 120/5.6 SES,11,The Holy Monastery of Saint Catherine Sinai | Kasotakis Vasilios | Galanis Lampros
,,discovery,"Sinai Arabic 151. Epistles and Acts : manuscript, 867. St. Catherine's Monastery, Sinai, Egypt",,paged,21198/z1bk2gmg,ark:/21198/z1vx1kvk,Work,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ,,Bible. Epistles|~|Bible. Acts,,867,,867,,,,,,,,,Bible. Epistles of Paul--Theology,,,,,,,,,,,,,,,269 ff. ; 2400.0 g,Codex,255 x 175 x 95 mm,Parchment,,,,,,,,,,,,text,Hagiographies|~|Martyrologies|~|Sacred works|~|Manuscripts,ara,right-to-left,Arabic,Kufic|~|Naskh,,,,,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 151,,Sinai. Old Collection,,,http://www.loc.gov/item/00279384404-ms/ ,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, EarlyManuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",Schneider | APO-DIGITAR 90/4.8 SES,11,The Holy Monastery of Saint Catherine Sinai | Kasotakis Vasilios | Galanis Lampros
