"File Name","Item Sequence","Visibility","Title","Thumbnail URL","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date binding","Date.creation","Scribe","Illuminator","Rubricator","Author","Commentator","Compiler","Translator","Summary","Contents note","Colophon","Incipit","Explicit","Motif","Bibliography","References","Provenance","Signature","General note","Physical Description","Format.extent","Format","Format.dimensions","Support","Foliation","Collation","Page layout","Writing and hands","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","AltIdentifier.local","Series","Collection (physical)","Undertext object(s)","Overtext mss","Other version","Ms cataloger/scholar","(originator of the digitized object)","Lens make | Lens model","Aperature","Camera Operator","IIIF Manifest URL"
"","","sinai","Sinai Arabic 53. Psalter and Odes : manuscript, [12th c.]. St. Catherine's Monastery, Sinai, Egypt","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z11v6jb6","Work","المَزامير|~|زبور داوود النّبي|~|التّسابيح","Bible. Psalms|~|Psalter","","1101/1200","","12th c.","","","","","","","","","Psalms (ff. 1r–140v). ""Single Davidic Psalm, not part of The Book of Psalms; composed when he duelled Goliath"" (f. 141r). Cantica (ff. 141r–160v).","","و هذه بدو التّسابيح (f. 141r).","نجزت المزامير بعون الله و قوّته و له التسبيح دايماً (f. 141r).","","","Kamil","","","","","160 ff. ; 859.9 g","Codex","266 x 180 x 50 mm","Paper","","","","","","","","","","Rubrication|~|Illustration(s)","","text","Biblical texts|~|Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 53","","Sinai. Old Collection","","","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891596/NLI","","Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director","Schneider | APO-DIGITAR 90/4.8 SES","11","The Holy Monastery of Saint Catherine Sinai | Kasotakis Vasilios | Galanis Lampros | Georgiades Christos","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11v6jb6/manifest"
"","","sinai","Sinai Arabic 71. Gospels : manuscript, [10th c.]. St. Catherine's Monastery, Sinai, Egypt","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1sf40j6","Work","","Bible. Gospels","","901/1000","","10th c.","","","","","","","","","Beginning with St. Matthew XXIII, 3. Ending St. Luke VIII, 1","","","","","","Kamil","","","","","49 ff. ; 334.7 g","Codex","227 x 178 x 22 mm","Parchment","","","","","","","","Front and back boards lacking","","Rubrication|~|Illustration(s)|~|Marginalia","","text","Biblical texts|~|Gospel books","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 71","","Sinai. Old Collection","","","https://www.loc.gov/item/00279385998-ms/","","Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director","Schneider | APO-DIGITAR 90/4.8 SES","11","The Holy Monastery of Saint Catherine Sinai | Kasotakis Vasilios | Galanis Lampros | Georgiades Christos","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sf40j6/manifest"
"","","sinai","Sinai Arabic 75. Four Gospels, divided according to the readings of the Greek Calendar : manuscript, [9th c.]. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx2gzz%2Fkk833q8r/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1hx2gzz","Work","","Bible. Gospels","","801/900","","9th c.","","","","","","","","","Followed by theological treatise against atheists. Lection table of Matthew (ff. front pastedown [noted ""1""] verso–2r), Matthew (ff. 2v–30r), lection table of Mark (ff. 30v), Mark (ff. 31r–48r), lection table of Luke (ff. 48r–49r), Luke (ff. 49r–79r), lection table of John (ff. 79r), John (ff. 79v–102r), theological discourse (102v–222r)","","مبتداء أنجيل مرقس البشير (f. 31r)؛ أوّل إنجيل لوقا البشير (f. 49r).","قد تمّ إنجيل القدّيس متّیٰ البشير ألّذي كرز بالعبرانية في السّند و الهند (f. 30r)؛ تمّ إنجيل مرقس القدّيس البشير ألّذي كرز بالرّومية في مدينة رومية الكبيرة (f. 48r)؛ تمّ إنجيل لوقا البشير الّذی تكلّم باليونانية في مدينة الإسكندرية (f. 79r)؛ تمّ إنجيل يحنّا البشيرألّذي كرز باليونانية في إفسس (f. 102r)؛ و كان كمال كتابه (f. 222r).","","","Kamil","","","","","222 ff. ; 1481.1 g","Codex","228 x 175 x 83 mm","Parchment","f. 1r lacking (f. 1 noted on the verso)","","","","","","f. 222v, back pastedown (f. 223r)","","","Rubrication|~|Illustration(s)|~|Border(s), Decorative|~|Marginalia","","text","Biblical texts|~|Gospel books","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 75","","Sinai. Old Collection","","","https://www.loc.gov/item/00279386048-ms/","","Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director","Schneider | APO-DIGITAR 90/4.8 SES","11","The Holy Monastery of Saint Catherine Sinai | Galanis Lampros | Kasotakis Vasilios | Georgiades Christos | Nikiteas Iasonas","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hx2gzz/manifest"
"","","sinai","Sinai Arabic 80. Four Gospels : manuscript, 1479. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x64r8j%2Fst62kz9w/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1x64r8j","Work","الإنجيل المقدّس|~|سنكساري","Bible. Gospels","","1479","","1479","","","","","","","","","Preface (2r–3v), Matthew (ff. 4r–52v), Mark (ff. 53v–81v), Luke (ff. 82r–127v), John (128v–165r), Synaxarion (ff. 166r–192v)","","نبتدي بعون الله سبحانه نكتب الإنجيل المقدّس (f. 2r)؛ نبتدي بعون الله و حسن توفيقه نكتب بشارة الرّسول مرقص الإنجيلي (f. 53v)؛ نبتدي بعون الله سبحانه و تعالیٰ نكتب الإنجيل المقدّس من بشارة الرّسول لوقا الإنجيلي (f. 82r)؛ نبتدي بعون الله سبحانه نكتب إنجيل يوحنّا (f. 128v)؛ نبتدي بعون الله سبحانه نكتب فصول الأناجيل (f. 166r).","كمل … بشارة المرقص الإنجيلي الّذي كتبهُ في رومية علی[؟] عهد بطرس الرّسول (f. 81v)؛ كمل … بشارة المرسول الإنجيلي يوحنّا الفاضل، المتکلّم بالاهيّات، المحبوب من الرّب، و بتمامها. كمل نسخة الإنجيل المقدّس (f. 165r)؛ كمل … نسخة فهرسة و سنكنساري الإنجيل المقدّس (f. 192v).","","","Kamil","","","","","194 ff. ; 1776.1 g","Codex","301 x 213 x 78 mm","Paper","","","","","ff. 2r–4r (headpieces), 53v (headpiece), 54r, 81v, 82r (headpiece), 127v, 128v (headpiece), 129r, 129v, 130r, 130v, 132v, 133r, 134r, 134v, 135r, 137v, 138r, 139v, 140r, 141v, 142r, 143v, 144r, 144v, 145r, 145v, 146r, 147v, 148r, 148v, 149r, 149v, 150r, 165v","","ff. 192v (donation inscription), 193r (reader inscriptions), 193v (supplicant and reader inscriptions), 194r (reader inscriptions), 194v (reader inscription)","","","Rubrication|~|Illustration(s)|~|Marginalia|~|Decoration, Full-page|~|Decoration, Geometric|~|Decoration, Vegetative|~|Decoration, Zoomorphic|~|Headpiece(s)|~|Border(s), Decorative","","text","Biblical texts|~|Gospel books","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 80","","Sinai. Old Collection","","","https://www.loc.gov/item/00279386061-ms/","","Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director","Schneider | APO-DIGITAR 90/4.8 SES","11","The Holy Monastery of Saint Catherine Sinai | Kasotakis Vasilios | Galanis Lampros | Georgiades Christos","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x64r8j/manifest"
"","","sinai","Sinai Arabic 89. Four Gospels : manuscript, 1285. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np37q4%2F9c34v405/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1np37q4","Work","الأربعة الأناجيل المقدّسة|~|سنكسار","Bible. Gospels","","1285","","1285","","","","","","","","","Prefatory Synaxarion (f. 1v), Matthew (ff. 2r–49v), chapters of Matthew (ff. 50r–50v), Mark (ff. 51ar–78v), chapters of Mark (ff. 78v–79r), Luke (ff. 79v–125r), chapters of Luke (ff. 125v–126r), John (ff. 127r–163r), chapters of John (ff. 163v), Pentecostal Synaxarion (ff. 164r–193r)","","نبتدي بعَون الله و حُسن توفيقه و ارشاده و تسديده. نكتب الاربعة الأناجيل المقدّسة. الاوّل من ذلك بشارة القديس متّی الإنجيلي. (f. 2r)؛ فاتحة بشارة الرّسول المُعظّم مرقس الإنجيلي الطّاهر البشير (f. 51ar)؛ نبتدي بعَون الله و حُسن توفيقه و ارشاده و تسديده نكتب بشارة القدّيس لوقا الإنجيلي. (f. 79v)؛ إبتدا بشارة القدّيس يوحنّا الإنجيلي (f. 127r)؛ نبتدي بعَون الله نكتب فصول الأناجيل الّتي يقروا في طَول الخمسين (f. 164r).","كمل نسخ بشارة الرَسول العظيم متی الإنجيلي و لله السبح و المجد دايماً و علينا رحمته امين (f. 49v)؛ كملت الاصحاحات و عددها و السبح لرب المجد دايماً سرمداً و علينا رحمته امين (f. 50v)؛ كمل إنجيل القدّيس مرقس البشير الّذي كتبه برومية في عهد بطرس الرّسول و المجد لله دائماً ابداً (f. 78v)؛ و السّبح لله دايماً و علينا رحمته آمين (f. 125r)؛ تمّت الاصحاحات الّتي الإنجيل لوقا القدّيس البشير الإنجيلي ترحمنا[؟] الرّب لشفاعته آمين (f. 126v)؛ كملت هذه النّسخة المقدّسة بحبل الله المقدّس طور سينا (f. 163r)؛ كمل بعون الله و رحمته کتبة السّنكسار (f. 193r).","","","Kamil","","","","","240 ff. ; 966.3 g","Codex","189 x 144 x 70 mm","Paper","ff. 202 and 223 lacking","","","","","","ff. 1r (reader and supplicant inscriptions), 193v (reader inscription), 194v (Coptic[?] inscription)","","","Rubrication|~|Marginalia","","text","Biblical texts|~|Gospel books","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 89","","Sinai. Old Collection","","","https://www.loc.gov/item/0027938670A-ms/","","Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director","Schneider | APO-DIGITAR 90/4.8 SES","11","The Holy Monastery of Saint Catherine Sinai | Galanis Lampros | Kasotakis Vasilios | Georgiades Christos | Nikiteas Iasonas","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1np37q4/manifest"
"","","sinai","Sinai Arabic 93. Four Gospels : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1029vvj","Work","الأناجيل|~|بشارات المقدّسة","Bible. Gospels","","1201/1300","","13th c.","","","","","","","","","Gospel comparison tables (ff. 2r–7v), chapters of Matthew (ff. 8v–10r), Matthew (ff. 10v–74r), preface to and chapters of Mark (ff. 75v–78v), Mark (ff. 79v–117v), preface to and chapters of Luke (ff. 118v–120v), Luke (ff. 121v–185r), chapters of John (ff. 188v–189r), John (ff. 189v–235v [unfinished]).","","نبدي بعَون الله و توفيقه بكتابَة فهرسة اصحاحَات البشارة المقدّسة الّتي قالها الرّوح القدس علیٰ فمّ متّیٰ (f. 8v)؛ فَاتِحَةُ بَشَارَةُ مَتَّیٰ اَلْإِنْجِيلي (f. 10v)؛ فاتحة بشارة الرّسُول المُعظّم مرقس الإنجيلي بَطْريرَك الإسكندرية (f. 79v)؛ نبدي بعون الله و حُسن توفيقه ننقل انجيل لوقا البشير من اللّسان اليوناني إلي العربي (f. 118v)؛ فاتحة إنجيل الرّسول النّبيل المعظّم لوقا الإنجيلي أحد الرّسل السّبعين (f. 121v)؛ بعون الله تبارك و تعالیٰ نبتدي و بحسن توفيقه و ارشاده نهتدي نذكر إصحاحات إنجيل يوحَنّا الرّسول العظيم الثاولوغس (f. 188v)؛ فاتحة إنجيل الرّسُول العظيم يوحنّا الثاولوغُس أَحد الرّسُل الأثنیٰ عَشر (f. 189v).","كُملت الفهرسة المباركة و لله منّة و الشّكر آمين (f. 10r)؛ كمل نسخ بشارة العظيم متّیٰ الإنجيلي و لله السّبح و المجد دائماً (f. 74r)؛ تمّت فهرسة و المجد دائماً لربّ المجد (f. 120v).","","","Kamil","","","","","234 ff. ; 1690.8 g","Codex","289 x 218 x 57 mm","Paper","f. 1 lacking","","","","","","","Front and back boards lacking","","Rubrication|~|Illustration(s)|~|Marginalia","Rodent damage affecting text on ff. 2–4","text","Biblical texts|~|Gospel books","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 93","","Sinai. Old Collection","","","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871369/NLI","","Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director","Schneider | APO-DIGITAR 90/4.8 SES","11","The Holy Monastery of Saint Catherine Sinai | Galanis Lampros | Kasotakis Vasilios | Georgiades Christos | Nikiteas Iasonas","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1029vvj/manifest"
"","","sinai","Sinai Arabic 99. Four Gospels : manuscript, 1286. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g1746k%2Fq947vs27/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1g1746k","Work","الأناجيل|~|بشارات المقدّسة","Bible. Gospels","","1286","","1286","","","","","","","","","Chapters of Matthew (ff. 2r–3r), Matthew (ff. 3v–65r), chapters of Mark (ff. 65v–66r), Mark (ff. 66v–104r), chapters of Luke (ff. 104v–105v), Luke (ff. 106v–167r), chapters of John (ff. 167r), John (ff. 167v–211r).","""Copying finished on Friday 28 in the month of Ḥazīrān [June] in the Year of the World [Anno Mundi] 6794, which was at Holy Mount Sinai Monastery"" (f. 211r).","نبديَ بعون الله و حُسن توفيقه بكتابة فهرسة اصحاحات البشارة المقدّسة الّتي قالها الرّوح القدس علیٰ فمّ متثیٰ (f. 2r)؛ فاتحة بشارة متثَیٰ الإنجيلي (f. 3v)؛ فاتحة بشارَة الرّسُول المُعظّم مرقص الإنجيلي بَطْريرَك الإسكندرية (f. 66v)؛ نبدِءُ بعون الله و حُسن توفيقه ننقل انجيل لُوقا البشير من اللَّسان اليُوناني إلي العَربي (f. 104v)؛ فاتحة إنجيل الرّسُول النّبيل المُعظّم لُوقا الإنجيلي أحد الرّسل السّبعين (f. 106v)؛ فاتحة إنجيل الرَّسُول العظيم يُوحنّا الثاولوغُس أَحد الرّسُل الأثنا عَشر (f. 167v).","هي[؟] الفهرسة المباركة و لله المنّة[؟] و الشّكر آمين (f. 3r)؛ كمل نسخ بشارة الرّسول العظيم مثّیٰ الإنجيلي و لله السّبح و المجد و الاكرام دايماً ابداً آمين (f. 65r)؛ تمّت الفهرسة و المجد دايماً لرَبُّ المَجدُ (f. 105v)؛ كُمِلت فهرسة الإصحاحات و المجدُ لله دائماً أبداً آمين (f. 167r)؛ و كان الفراغ من نَسخُه (f. 211r).","","","Kamil","Holy Mount Sinai Monastery (f. 211r)","","","","211 ff. ; 3163.0 g","Codex","317 x 242 x 89 mm","Paper","","","","","","","f. 2r (donation inscription)","","","Rubrication|~|Illustration(s)|~|Colophon","","text","Biblical texts|~|Gospel books","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 99","","Sinai. Old Collection","","","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871371/NLI","","Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director","Schneider | APO-DIGITAR 90/4.8 SES","11","The Holy Monastery of Saint Catherine Sinai | Kasotakis Vasilios | Galanis Lampros | Georgiades Christos","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g1746k/manifest"
"","","sinai","Sinai Arabic 117. Lectionary (Gospels) : manuscript, 1203. St. Catherine's Monastery, Sinai, Egypt","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1b86cjr","Work","إنجيل","Lectionary","","1203","","1203","","","","","","","","","","""This is the day of completing the Holy Gospel, on Saturday in the Ninth Hour from the day [Nones, i.e. 3 pm] 31 in the month of Kānūn al-Awwal [December] in the Year of the World [Anno Mundi] 6701, and Arsani the guilty copied it…"" (f. 138v).","نبتدي علیٰ بركة الله و حسن توفيقه نكتب الانجيل المقدّس (f. 3r).","هذا يوم كمال الإنجيل المقدّس (f. 138v).","","","Kamil","","","","","139 ff. ; 1336.9 g","Codex","257 x 177 x 91 mm","Paper","f. 128 mistakenly written as 228","","","Scribe: Arsani (ff. 138v, 139r)","f. 3r (headpiece)","","Front board inside, ff. 138v, 139r, 139v, back board inside ; f. 138v (scribal note)","","","Headpiece(s)|~|Rubrication|~|Illustration(s)|~|Colophon","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 117","","Sinai. Old Collection","","","https://www.loc.gov/item/00279386759-ms/","","Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director","Schneider | APO-DIGITAR 90/4.8 SES","11","The Holy Monastery of Saint Catherine Sinai | Galanis Lampros | Kasotakis Vasilios | Georgiades Christos | Nikiteas Iasonas","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b86cjr/manifest"
"","","sinai","Sinai Arabic 121. Lectionary (Gospels) : manuscript, 1243. St. Catherine's Monastery, Sinai, Egypt","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z16m4b5v","Work","إنجيل","Lectionary","","1243","","1243","","","","","","","","","","","","","","","Kamil","","","","","359 ff. ; 3328.1 g","Codex","300 x 220 x 113 mm","Paper","","","","","ff. 35v, 42r, 76r, 84r, 114v, 178v, 196v, 218r (headpiece), 228v, 289v (headpiece), 296r, 322r, 349v, 352v, 356r, 358r, 359r","","f. 359v (scribal note)","","","Rubrication|~|Illustration(s)|~|Border(s), Decorative|~|Decoration, Zoomorphic|~|Decoration, Full-page|~|Decoration, Vegetative|~|Headpiece(s)|~|Marginalia","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 121","","Sinai. Old Collection","","","https://www.loc.gov/item/00279386851-ms/","","Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director","Schneider | APO-DIGITAR 90/4.8 SES","11","The Holy Monastery of Saint Catherine Sinai | Kasotakis Vasilios | Galanis Lampros | Georgiades Christos","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16m4b5v/manifest"
"","","sinai","Sinai Arabic 127. Lectionary (Gospels) : manuscript, 1294. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g1744p%2F0s65t42p/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1g1744p","Work","إنجيل","Lectionary","","1294","","1294","","","","","","","","","","""This Blessed Gospel was completed on Saturday the Feast of St Philip, which is 14 in the month of Tishrīn ath-Thānī [November] in the Year of Our Father Adam [Anno Mundi] 6xxx, [which was] the year 1xxx after Divine Incarnation…, [which was also] 14 of Dhī al-Ḥijjah of the Arab Year [AH] 390. O Reader, remember this humble amongst [the Children of the] Baptised, the monk Paul the Egyptian by name who narrated/translated? and copied it…."" (f. 241v).","نبديَ بعون الله و حُسن توفيقه نكتب الإناجيل المقدّسة ألّتي تقرأ في مدار السّنة (f. 2r)؛ بدو أناجيل لوقا ألّذي أكرز بالإسكندرية (f. 81v)؛ بدو قرآأت إنجيل مرقس (f. 116r).","نجز هذا الإنجيل المبارك (f. 241v).","","","Kamil","","","","","241 ff. ; 2611.4 g","Codex","298 x 230 x 85 mm","Paper","","","","Sribe: Paul the Egyptian (f. 241)","ff. 81v, 179r, 186r","","ff. 1v (reader inscription), 241v (donation inscription)","","","Rubrication|~|Illustration(s)|~|Marginalia|~|Border(s), Decorative|~|Decoration, Vegetative|~|Colophon","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 127","","Sinai. Old Collection","","","https://www.loc.gov/item/00279384295-ms/","","Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director","Schneider | APO-DIGITAR 90/4.8 SES","11","The Holy Monastery of Saint Catherine Sinai | Kasotakis Vasilios | Galanis Lampros | Georgiades Christos","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g1744p/manifest"
