"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date binding","Date.creation","Scribe","Author","Associated name","Translator","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection (physical)","Other version(s)","image count","IIIF Manifest URL","delivery"
"","","St. Catherine's Monastery, Sinai Syriac 100","Lectionary of Acts and Epistles","","paged","ark:/21198/z1bk2gmg","ark:/21198/z13x9rb4","Work","","Lectionary","","1201/1300","","13th c.","","","","","","","","","Kamil","","","241 ff. ; 1074.9 g","codex","203 x 150 x 71.0 mm","Paper","","","","","","","","","","","text","Lectionaries|~|Liturgical texts|~|Biblical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 100","Sinai. Old Collection","https://www.loc.gov/item/00279387727-ms/","495","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13x9rb4/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 109","Euchologia","","paged","ark:/21198/z1bk2gmg","ark:/21198/z10590kn","Work","","Euchologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","232 ff. ; 1041.1 g","codex","198 x 151 x 78.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 109","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891711","474","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10590kn/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 113","Euchologia","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1vd8h3c","Work","","Euchologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","47 ff. ; 172.2 g","codex","181 x 140 x 23.0 mm","Paper","","","","","","","","","","f. 1, 2, 5, 12 detached","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 113","Sinai. Old Collection","https://www.loc.gov/item/00279387831-ms/","104","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vd8h3c/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 114","Euchologia","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1qn7rfj","Work","","Euchologion","","1620","","1620","","","","","","","","","Kamil","","","88 ff. ; 606.4 g","codex","193 x 153 x 47.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts","ara|~|syc","right-to-left","Syriac|~|Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 114","Sinai. Old Collection","https://www.loc.gov/item/0027938782A-ms/","194","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qn7rfj/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 115","Euchologia","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1kw70rn","Work","","Euchologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","66 ff. ; 545.4 g","codex","196 x 148 x 43.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 115","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891713","142","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kw70rn/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 117","Euchologia","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1g74zd4","Work","","Euchologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","82 ff. ; 628 g","codex","201 x 147 x 50.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 117","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891714","174","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g74zd4/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 118","Sticherarion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1bg46rp","Work","","Sticherarion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","336 ff. ; 1128.6 g","codex","185 x 151 x 86.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 118","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891715","683","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bg46rp/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 119","Services","","paged","ark:/21198/z1bk2gmg","ark:/21198/z16q3fz2","Work","","","","1201/1300","","13th c.","","","","","","","","","Kamil","","","192 ff. ; 899.6 g","codex","181 x 141 x 69.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 119","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891716","396","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16q3fz2/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 121","Psalms","","paged","ark:/21198/z1bk2gmg","ark:/21198/z12z2q69","Work","","Bible. Psalms","","1232","","1232","","","","","","","","","Kamil","","","217 ff. ; 812 g","codex","176 x 136 x 67.0 mm","Paper","","","","","","","","","Dated","","text","Biblical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 121","Sinai. Old Collection","https://www.loc.gov/item/0027938779A-ms/","444","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12z2q69/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 122","Ermologion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1z626q9","Work","","Heirmologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","125 ff. ; 748.4 g","codex","194 x 152 x 56.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 122","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891717","260","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z626q9/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 123","Euchologia","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1tf1g1f","Work","","Euchologion","","1287","","1287","","","","","","","","","Kamil","","","350 ff. ; 1499.5 g","codex","198 x 152 x 105.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 123","Sinai. Old Collection","https://www.loc.gov/item/00279387788-ms/","710","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tf1g1f/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 128","Psalms","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1pp0qd2","Work","","Bible. Psalms","","1229","","1229","","","","","","","","","Kamil","","","184 ff. ; 692.1 g","codex","180 x 141 x 60.0 mm","Paper","folio 18 is written as 218","","","","","","","","Dated","","text","Biblical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 128","Sinai. Old Collection","https://www.loc.gov/item/00279387855-ms/","378","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pp0qd2/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 132","Prophetologion recited during Lent, Holy Week and feast days","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1k08nzm","Work","","Prophetologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","275 ff. ; 1145.1 g","codex","200 x 154 x 90.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 132","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891722","564","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k08nzm/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 135","Four Gospels","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1f77x8r","Work","","Bible. Gospels","","1101/1300","","12th c.","","","","","","","","","Kamil","","","179 ff. ; 757.5 g","codex","182 x 143 x 59.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Gospel books","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 135","Sinai. Old Collection","https://www.loc.gov/item/00279387892-ms/","368","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f77x8r/manifest","delivery 5.2"
