"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date binding","Date.creation","Scribe","Author","Associated name","Translator","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection (physical)","Other version(s)","image count","IIIF Manifest URL","delivery"
"","","St. Catherine's Monastery, Sinai Arabic 1.","Books of Job, Daniel, Jeremiah and Ezekiel","","paged","ark:/21198/z1bk2gmg","ark:/21198/z18w4z1w","Work","","Bible. Job|~|Bible. Daniel|~|Bible. Jeremiah|~|Bible. Ezekiel","","801/900","","9th c.","","","","","","","","","Kamil","","","148 ff. ; 1004.6 g","codex","242 x 170 x 67 mm","Parchment","","","","","","","","","","","text","Biblical texts","ara","right-to-left","Arabic","Kufic","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 1","Sinai. Old Collection","https://www.loc.gov/item/00279385767-ms/","306","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18w4z1w/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 11.","Prophetologion and Varia","","paged","ark:/21198/z1bk2gmg","ark:/21198/z11g24xj","Work","","Prophetologion","","1116","","1116","","","","","Prophetologion. Lessons from Prophets recited during Lent, Holy Week and feast days for whole year preceded by verses from Psalms, ends with several treatises on the determination of Lent, the Oecumenical Councils, and a comparative study of the Calendars from Adam, Alexander, the Christian Era and the Moslem Hijra","","","","Kamil","","","176 ff. ; 478.3 g","codex","179 x 132 x 57 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts|~|Lectionaries|~|Biblical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 11","Sinai. Old Collection","https://www.loc.gov/item/00279385809-ms/","362","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11g24xj/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 111.","Four Gospels","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1qz3vn2","Work","","Bible. Gospels","","1201/1300","","13th c.","","","","","","","","","Kamil","","","325 ff. ; 1302.4 g","codex","190 x 147 x 104 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Gospel books","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 111","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871373","662","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qz3vn2/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 140.","Lectionary (Gospels)","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1m6341s","Work","","Troparion|~|Kontakarion|~|Sticherarion|~|Evangelion","","1101/1200","","12th c.","","","","","Followed by a series of extracts from the Kontakion, Prokeimenon, Canons of Easter, Sticheraria, Troparia, Genesis and Odes. Manuscript contains palimpsested parchment with Syriac undertext (ff. 92-99)","","","","Kamil","","","101 ff. ; 493.2 g","codex","173 x 134 x 43 mm","Paper","","","","","","","","","","Detached folios (ff. 59, 60)","text","Liturgical texts|~|Lectionaries|~|Hymnals|~|Biblical texts|~|Gospel books","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 140","Sinai. Old Collection","https://www.loc.gov/item/00279384313-ms/","212","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m6341s/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 141.","Lectionary (Gospels), the Eleven Gospel chapters recited on Sundays","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1gj12ng","Work","","Evangelion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","125 ff. ; 735.7 g","codex","209 x 152 x 56 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books","ara|~|syc","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 141","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871378","260","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gj12ng/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 155.","Jesus Son of Sirach and Pauline Epistles","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1bs09w9","Work","","Bible. Epistles of Paul","","801/1000","","9th c.","","","","","Book of Wisdom of Jesus, Son of Sirach, followed by St. Paul’s Epistles to the Romans, Corinthians I-II, Galatians and Ephesians divided according to Greek Calendar","","","","Kamil","","","94 ff. ; 377.6 g","codex","211 x 151 x 32 mm","Parchment","","","","","","","","","","","text","Biblical texts","ara","right-to-left","Arabic","Kufic","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 155","Sinai. Old Collection","https://www.loc.gov/item/00279384374-ms/","198","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bs09w9/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 171.","Lectionary (Epistles), with commentary","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1709k49","Work","","Lectionary","","1296","","1296","","","","","","","","","Kamil","","","372 ff. ; 1406.4 g","codex","194 x 153 x 104 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Commentaries","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 171","Sinai. Old Collection","https://www.loc.gov/item/00279384532-ms/","754","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1709k49/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 180.","Horologion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1378tc4","Work","","Horologion","","1242","","1242","","","","","","","","","Kamil","","","137 ff. ; 444.1 g","codex","176 x 150 x 42 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 180","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891638","282","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1378tc4/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 185.","Horologion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1zg89wt","Work","","Horologion","","1231","","1231","","","","","","","","","Kamil","","","185 ff. ; 815 g","codex","203 x 158 x 72 mm","Paper","Manuscripts contains parchment leaves (ff. 1, 2, 51, 52)","","","","","","","","Dated","","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 185","Sinai. Old Collection","https://www.loc.gov/item/00279384489-ms/","380","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zg89wt/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 2.","Pentateuch","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1572wqs","Work","","Bible. Pentateuch","","901/1000","","10th c.","","","","","","","","","Kamil","","","266 ff. ; 1476.3 g","codex","270 x 173 x 77 mm","Paper","","","","","","","","","","","text","Biblical texts","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 2","Sinai. Old Collection","https://www.loc.gov/item/00279385755-ms/","539","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1572wqs/manifest","delivery 5.1"
