File Name,Item Sequence,Visibility,Title,Thumbnail URL,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,AltTitle.other,AltTitle.uniform,Place of origin,Date.normalized,Date binding,Date.creation,Scribe,Illuminator,Rubricator,Author,Commentator,Compiler,Translator,Subject name,Subject topic,Subject place,Subject temporal,Summary,Contents,Colophon,Incipit,Explicit,Motif,Bibliography,References,Provenance,Signature,General note,Physical Description,Format.extent,Format,Format.dimensions,Support,Foliation,Collation,Page layout,Writing and hands,Illustrations note,Inscription,Additions,Binding note,Ink color,Features,Condition note,Type.typeOfResource,Type.genre,Language,Text direction,Writing system,Script,Script note,Rights.statementLocal,Rights contact,Name.repository,AltIdentifier.local,Series,Collection (physical),Undertext object(s),Overtext mss,Other version,Ms cataloger/scholar,(originator of the digitized object),Lens make | Lens model,Aperature,Camera Operator
,,sinai,"Sinai Arabic 18. Prophetologion : manuscript, 1350. St. Catherine's Monastery, Sinai, Egypt",,,paged,21198/z1bk2gmg,ark:/21198/z1xs6ztt,Work,,,,1350,,1350,,,,,,,,,,,,,,,,,,,Kamil|~|LOC,,,,,249 ff. ; 1504.7 g,Codex,217 x 168 x 96 mm,Paper,,,,,,,,,,Rubrication|~|Marginalia,87AB,text,***,Arabic,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 18,,Sinai. Old Collection,,,https://www.loc.gov/item/00279385792-ms/,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",,,Christos Georgiades
,,sinai,"Sinai Arabic 25. Psalter and Horologion : manuscript, 1259. St. Catherine's Monastery, Sinai, Egypt",,,paged,21198/z1bk2gmg,ark:/21198/z1t16719,Work,,,,1259,,1259,,,,,,,,,,,,,,,,,,,Kamil|~|LOC,,,,,168 ff. ; 1026.9 g,Codex,222 x 149 x 64 mm,Paper,,,,,,,,,,"Rubrication|~|Decoration, Vegetative|~|Headpiece(s)|~|Marginalia",NO 41 / 91AB / 132AB,text,***,Arabic,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 25,,Sinai. Old Collection,,,https://www.loc.gov/item/00279385871-ms/,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",,,Vasilis Kasotakis
,,sinai,"Sinai Arabic 42. Psalter and Odes : manuscript, 1790. St. Catherine's Monastery, Sinai, Egypt",,,paged,21198/z1bk2gmg,ark:/21198/z1p85g7p,Work,,,,1790,,1790,,,,,,,,,,,,,,,,,,,Kamil|~|LOC,,,,,174 ff. ; 437.9 g,Codex,173 x 134 x 39 mm,Paper,,,,,,,,,,"Rubrication|~|Decoration, Vegetative|~|Decoration, Geometric|~|Decoration, Zoomorphic|~|Illustration|~|Headpiece(s)|~|Colophon|~|Marginalia",38AB,text,***,Arabic,right-to-left,Arabic,,Thuluth(?),Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 42,,Sinai. Old Collection,,,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871363/NLI,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",,,Vasilis Kasotakis
,,sinai,"Sinai Arabic 44. Psalter and Odes : manuscript [ca 13th c.]. St. Catherine's Monastery, Sinai, Egypt",,,paged,21198/z1bk2gmg,ark:/21198/z1jh4qjd,Work,,,,1201/1300,,13th c.,,,,,,,,,,,,,,,,,,,Kamil|~|LOC,,,,,154 ff. ; 959.8 g,Codex,220 x 157 x 80 mm,Paper,,,,,,,,,,Rubrication|~|Marginalia,NO 63 / fragment f 239 labeled as z999 not par...,text,***,Arabic,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 44,,Sinai. Old Collection,,,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871363/NLI,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",,,Lampros Galanis
,,sinai,"Sinai Arabic 48. Psalter and Odes : manuscript [ca 13th c.]. St. Catherine's Monastery, Sinai, Egypt",,,paged,21198/z1bk2gmg,ark:/21198/z1dr3zwk,Work,,,,1201/1300,,13th c.,,,,,,,,,,,,,,,,,,,Kamil|~|LOC,,,,,207 ff. ; 1069.7 g,Codex,215 x 148 x 84 mm,Paper,,,,,,,,,,"Rubrication|~|Decoration, Geometric|~|Headpiece(s)|~|Colophon",tape split leaves repairs / folio 182 fragile ...,text,***,Arabic,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 48,,Sinai. Old Collection,,,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871365/NLI,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",,,Vasilis Kasotakis
,,sinai,"Sinai Arabic 66. Psalter and Commentary : manuscript, 1266. St. Catherine's Monastery, Sinai, Egypt",,,paged,21198/z1bk2gmg,ark:/21198/z1931xh0,Work,,,,1266,,1266,,,,,,,,,,,,,,,,,,,Kamil|~|NLI,,,,,396 ff. ; 1711.6 g,Codex,214 x 153 x 105 mm,Paper,,,,,,,,,,"Rubrication|~|Marginalia|~|Decoration, Geometric",50AB / 81AB / NO 266 / NO 277 / NO 365,text,***,Arabic,right-to-left,Arabic|~|Greek,Naskh|~|Greek minuscule,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 66,,Sinai. Old Collection,,,https://www.loc.gov/item/00279385962-ms/,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",,,Vasilis Kasotakis
,,sinai,"Sinai Arabic 77. Four Gospels : manuscript [ca 13th c.]. St. Catherine's Monastery, Sinai, Egypt",,,paged,21198/z1bk2gmg,ark:/21198/z15b15vj,Work,,,,1201/1300,,13th c.,,,,,,,,,,,,,,,,,,,Kamil|~|LOC,,,,,258 ff. ; 1452.3 g,Codex,222 x 157 x 86 mm,Paper,,,,,,,,,,Rubrication|~|Marginalia|~|Colophon,18AB / NO 233,text,***,Arabic,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 77,,Sinai. Old Collection,,,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891607/NLI,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",,,Vasilis Kasotakis
,,sinai,"Sinai Arabic 79. Four Gospels : manuscript [ca 13th c.]. St. Catherine's Monastery, Sinai, Egypt",,,paged,21198/z1bk2gmg,ark:/21198/z11k0f64,Work,,,,1201/1300,,13th c.,,,,,,,,,,,,,,,,,,,,,,,,324 ff. ; 1763.8 g,Codex,225 x 165 x 90 mm,Paper,,,,,,,,,,"Rubrication|~|Decoration, Geometric|~|Headpiece(s)|~|Marginalia",22AB / NO 23 / NO 202 / NO 235 / NO 236,text,***,Arabic,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 79,,Sinai. Old Collection,,,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891609/NLI,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",,,Lampros Galanis
,,sinai,"Sinai Arabic 83. Four Gospels : manuscript [ca 13th c.]. St. Catherine's Monastery, Sinai, Egypt",,,paged,21198/z1bk2gmg,ark:/21198/z1ws9xmj,Work,,,,1201/1300,,13th c.,,,,,,,,,,,,,,,,,,,Kamil|~|LOC,,,Folios 16r-v 17r-v 18r-v missing / foliation jumps from 15r to 19r,,293 ff. ; 1383.8 g,Codex,225 x 160 x 80 mm,Paper,,,,,,,,,,Rubrication|~|Marginalia|~|Colophon,100AB (100B = 112)  /  NO 119  / 181AB / NO 29...,text,***,Arabic,right-to-left,Arabic|~|Syriac,Naskh|~|Estrangela,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 83,,Sinai. Old Collection,,,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891611/NLI,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",,,Vasilis Kasotakis
,,sinai,"Sinai Arabic 87. Four Gospels : manuscript, 1478. St. Catherine's Monastery, Sinai, Egypt",,,paged,21198/z1bk2gmg,ark:/21198/z1s195tm,Work,,,,1478,,1478,,,,,,,,,,,,,,,,,,,Kamil|~|LOC,,,,,183 ff. ; 833.0 g,Codex,219 x 163 x 52 mm,Paper,,,,,,,,,,"Rubrication|~|Decoration, Geometric|~|Headpiece(s)|~|Colophon","106AB / 178AB / 1 blank stub 4r-3v, 133r-132v",text,***,Arabic,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 87,,Sinai. Old Collection,,,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871367/NLI,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",,,Lampros Galanis
