File Name,Item Sequence,Visibility,Title,Thumbnail URL,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,AltTitle.other,AltTitle.uniform,Place of origin,Date.normalized,Date binding,Date.creation,Scribe,Illuminator,Rubricator,Author,Commentator,Compiler,Translator,Summary,Contents note,Colophon,Incipit,Explicit,Motif,Bibliography,References,Provenance,Signature,General note,Physical Description,Format.extent,Format,Format.dimensions,Support,Foliation,Collation,Page layout,Writing and hands,Illustrations note,Inscription,Additions,Binding note,Ink color,Features,Condition note,Type.typeOfResource,Type.genre,Language,Text direction,Writing system,Script,Script note,Rights.statementLocal,Rights contact,Name.repository,AltIdentifier.local,Series,Collection (physical),Undertext object(s),Overtext mss,Other version,Ms cataloger/scholar,(originator of the digitized object),Lens make | Lens model,Aperature,Camera Operator,IIIF Manifest URL
,,sinai,"Sinai Arabic 460. Lives of Saints and Martyrdoms : manuscript, [10th c.]. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1892qhn%2F9z700j40/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1892qhn,Work,,,,901/1000,,10th c.,,,,,,,,,"Life of St. Gregory the Illuminator, father of Armenian Christianity ; Martydom of SS. Febronia, Babylianus the Bishop and his three young companions, Sibyllianus and his sister Dorothea, and Petracius and Cyprus - the last two in the reign of Julian the Apostate ; Stories of Clement the Pupil of St. Peter, Xenophon and his wife Maria and their children John and Arcadius ; Some sayings of Saints John Chrysostom and Jacob the Pious Bishop of Butnan Surug ; Prayer to be said in case of drought or fear",,,,,,Kamil,,,,,104 ff. ; 667.7 g,Codex,223 x 170 x 43 mm,Parchment,,,,,,,,,,Rubrication|~|Headpiece(s)|~|Marginalia,,text,Historical works|~|Hagiographies,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 460,,Sinai. Old Collection,,,https://www.loc.gov/item/00279391159-ms/,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",,,Vasilis Kasotakis,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1892qhn/manifest
,,sinai,"Sinai Arabic 474. Mimars and Martyrdoms : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j1zq1%2F8x80cj5b/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z14j1zq1,Work,,,,1201/1300,,13th c.,,,,,,,,,"Mimars by SS. Ephraem, John Chrysostom, Andrew  of Crete, and Basil ; Martyrdom and Miracles of St. George ; The Responses of St. Athanasius Patriarch of Alexandria to St. Antiochus the Abbot",,,,,,Kamil,,,,,329 ff. ; 1470.9 g,Codex,223 x 188 x 93 mm,Paper,,,,,,,,,,"Rubrication|~|Headpiece(s)|~|Marginalia|~|Decoration, Vegetative|~|Colophon",,text,Theological works|~|Mimars,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 474,,Sinai. Old Collection,,,https://www.loc.gov/item/00279391184-ms/,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",,,Vasilis Kasotakis,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14j1zq1/manifest
,,sinai,"Sinai Arabic 475. Mimars, Lives of Saints, Epistles : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s1703%2F3r79074s/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z10s1703,Work,,,,1201/1300,,13th c.,,,,,,,,,"Mimars by SS. Ephraem and Gregory Bishop of Nazienz ; Lives of Saints and Martyrdoms, including those of SS. Gregory of Sicily, Mephilu­cius (Amphilochius) of Iconium (Qõnia), the Apostles Peter and Paul, Neuphatius of Rome who perished in Tarsus, Macarius the Egyptian of Scetis, and Maximus and Dometius sons of King Leontius ; Epistle of St. Dionysius to the Apostle Timothy",,,,,,Kamil,,,,,272 ff. ; 1364.4 g,Codex,221 x 164 x 77 mm,Paper,,,,,,,,,,Colophon|~|Marginalia|~|Rubrication,,text,Theological works|~|Mimars,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 475,,Sinai. Old Collection,,,https://www.loc.gov/item/00279391196-ms/,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",,,Christos Georgiades,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10s1703/manifest
,,sinai,"Sinai Arabic 477. Varia : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w39dw1%2Fhw49bx04/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1w39dw1,Work,,,,1201/1300,,13th c.,,,,,,,,,"Mimars and miscellaneous discourses and Epistles by SS. Basil, John Chrysostom and Ephraem the Syrian, together with a selection from the Book of the “Paradise of the Fathers”",,,,,,Kamil,,,,,174 ff. ; 1151.8 g,Codex,225 x 161 x 68 mm,Paper,,,,,,,,,,Rubrication,,text,Theological works|~|Apophthegmata,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 477,,Sinai. Old Collection,,,https://www.loc.gov/item/00279391214-ms/,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",,,Lampros Galanis,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w39dw1/manifest
,,sinai,"Sinai Arabic 489. Genesis : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb8p5q%2Fmc255m8n/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1rb8p5q,Work,,Bible. Genesis,,1201/1300,,13th c.,,,,,,,,,,,,,,,Kamil,,,,,77 ff. ; 504.3 g,Codex,220 x 142 x 33 mm,Paper,,,,,,,,,,Rubrication,,text,Biblical texts,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 489,,Sinai. Old Collection,,,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891678/NLI#$FL36169580,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",,,Christos Georgiades,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rb8p5q/manifest
,,sinai,"Sinai Arabic 507. Commentary on Gospels for the Holy Week ; Martyrdom of St. Gregory : manuscript, 1273. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk7xgf%2F7r43kb49/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1mk7xgf,Work,,,,1273,,1273,,,,,,,,,,,,,,,Kamil,,,,,169 ff. ; 773.8 g,Codex,218 x 151 x 55 mm,Paper,,,,,,,,,,"Rubrication|~|Headpiece(s)|~|Decoration, Vegetative",,text,Theological works|~|Commentaries,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 507,,Sinai. Old Collection,,,https://www.loc.gov/item/00279390155-ms/,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",,,Vasilis Kasotakis,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mk7xgf/manifest
,,sinai,"Sinai Arabic 509. Mimars ; Apophthegmata ; Lives of Saints : manuscript, [12th c.]. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt75sj%2Fmp720r01/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1gt75sj,Work,,,,1101/1200,,12th c.,,,,,,,,,"Mimars by SS. Isaac the Syrian, Nilus, Ephraem, and John Chrysostom ; Apophthegmata derived from the sayings sent by St. Moses the Black of Scetis to Apa Poemen ; Life of Apa Yanna (John) of the Thebaid",,,,,,Kamil,,,,,288 ff. ; 1031.4 g,Codex,224 x 176 x 55 mm,Paper,,,,,,,,,,Rubrication|~|Marginalia,,text,Theological works|~|Mimars,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 509,,Sinai. Old Collection,,,https://www.loc.gov/item/00279390179-ms/,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",,,Iasonas Nikiteas,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gt75sj/manifest
,,sinai,"Sinai Arabic 520. Martyrdoms and Lives of Saints ; Mimars : manuscript, [10th c.]. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c26f13%2F7253pb89/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1c26f13,Work,,,,901/1000,,10th c.,,,,,,,,,"Ancient Codex containing ten treatises which may be classified In the following categories: 1 - Mimar by St. John Chrysostom on observing Mass. 2 - Theological treatise by St. Michael Patriarch of Nicaea. 3 - Stories 1 of St. Mary the Maccabean and her seven children, of St. John Chrysostom, of St. Ephraem, and of SS. Cosmas and Damian. 4 - Martyrdom of SS. Victor and Stephan during Decius’ reign in Egypt and of Apimechu of Pelusium in Alexandria at the hands of Julian. 5 - An expose of the sack of Jerusalem and the capture of the Holy Cross of the Passion together with Zacharias the Patriarch by the Persians",,,,,,Kamil,,,,,277 ff. ; 1180.0 g,Codex,207 x 155 x 97 mm,Paper,,,,,,,,,,Rubrication|~|Marginalia|~|Headpiece(s),,text,Historical works|~|Hagiographies,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 520,,Sinai. Old Collection,,,https://www.loc.gov/item/00279390192-ms/,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",,,Vasilis Kasotakis,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c26f13/manifest
,,sinai,"Sinai Arabic 529. Lives of SS. John Chrysostom and Irene : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1795p7g%2Ff109mw65/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1795p7g,Work,,,,1201/1300,,13th c.,,,,,,,,,,,,,,,Kamil,,,,,327 ff. ; 1737.1 g,Codex,224 x 160 x 94 mm,Paper,,,,,,,,,,Rubrication|~|Colophon,,text,Historical works|~|Hagiographies,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 529,,Sinai. Old Collection,,,https://www.loc.gov/item/00279390271-ms/,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",,,Iasonas Nikiteas,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1795p7g/manifest
,,sinai,"Sinai Arabic 535. Martyrdoms and Lives of Saints ; Mimars : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j4xj6%2Fdf310d95/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z13j4xj6,Work,,,,1201/1300,,13th c.,,,,"Anṭākī, ʻAbd Allāh ibn al-Faḍl, -approximately 1052|~|John, of Damascus, Saint|~|John Chrysostom, Saint, -407|~|Andrew, of Crete, Saint, approximately 660-740",,,,,"Codex containing twenty-four miscellaneous Lives of Saints, Mimars, Martyrdoms, and other subjects, divisible into the following categories: 1 - Mimars by SS. John Damascene and John Chrysostom. 2- Encomium by St. Andrew Bishop of Crete and another by Bishop Abdallah ibn al-Fadl addressed to St. Nicolaus, a thrid by St. Pericles Patriarch of Constantinople to St. Stephens first martyr, and an anonymous elegy. 3 - Lives of Saints and Martyrdoms including those of SS. Peter Patriarch of Alexandria, Jeremiah, al-Harith of Nagran and his companions, Jacob the Apostle, Athanasius of Al-Qulzum, Sergius and Bacchus, Theodorus, Mercurius, Procopius, Panteleemon, Agathangelus, Demetrius and his pupil Nestor, Eustratius, Auxentius, Eugenius, Aristus, Mardarius, the forty martyrs of Sebastia, Eustace together with his wife and two children, Euclid and Joseph the Jew. 4 - Book of the Nativity of Our Lady by Jacob the Apostle",,,,,,Kamil,,,,,355 ff. ; 1371.2 g,Codex,214 x 154 x 92 mm,Paper,,,,,,,,,,"Rubrication|~|Headpiece(s)|~|Decoration, Vegetative|~|Decoration, Geometric|~|Colophon",,text,Historical works|~|Hagiographies,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 535,,Sinai. Old Collection,,,https://www.loc.gov/item/00279390337-ms/,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",,,Vasilis Kasotakis,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13j4xj6/manifest
