"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date.creation","Scribe","Author","Associated name","Contributors","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection","Other version(s)","IIIF Manifest URL","delivery","image count","Viscodex"
"","","Sinai, St. Catherine’s Monastery, Arabic 103","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1709sm2%2Ffk426p4t/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1709sm2","Work","Four Gospels","Bible. Gospels","","1201/1300","13th c. CE","","","","","Divided according to Greek Calendar. Each Gospel preceded by chapter index, and all followed by tables of Gospel readings for the year","","","","Kamil","","","311 ff.","849.9 g","Codex","152 x 142 x 92.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Gospel books","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 103","Old Collection","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1709sm2/manifest","delivery 7.1","",""
"","","Sinai, St. Catherine’s Monastery, Arabic 114","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13791v8%2F0x85054s/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z13791v8","Work","Lectionary (Gospels)","Evangelion","","1201/1300","13th c. CE","","","","","Four Gospels, divided according to Greek Calendar with index at beginning, followed by table of Gospel readings for the whole year and commentary on Gospel lessons for Sundays and Feasts","","","","Kamil","","","484 ff.","1756.4 g","Codex","155 x 146 x 133.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 114","Old Collection","https://www.loc.gov/item/00279386772-ms/","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13791v8/manifest","delivery 7.1","","https://viscodex.library.utoronto.ca/project/60c18a1f27d22934ad9f4b1b/viewOnly"
"","","Sinai, St. Catherine’s Monastery, Arabic 125","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck05m9%2Fcn541j1g/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1zg8jc0","Work","Lectionary (Gospels), with commentary","Evangelion","","1250","1250 CE","","","","","","","","","Kamil","","","248 ff.","1743.6 g","Codex","264 x 204 x 67.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books|~|Commentaries","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 125","Old Collection","https://www.loc.gov/item/00279386814-ms/","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zg8jc0/manifest","delivery 7.1","",""
"","","Sinai, St. Catherine’s Monastery, Arabic 13","Church services","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7srm%2Frq80q520/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1tq7srm","Work","","","","1222","1222 CE","","","","","","","","","Kamil","","","386 ff.","2278.6 g","Codex","271 x 182 x 98.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 13","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891572/NLI","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tq7srm/manifest","delivery 7.1","",""
"","","Sinai, St. Catherine’s Monastery, Arabic 138","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q25rdg%2F7j537m8p/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1q25rdg","Work","Lectionary (Gospels), with introduction and commentary","Evangelion","","1117","1117 CE","","","","","","","","","Kamil","","ff. 1-2, 349-350 Greek parchment","350 ff.","2084.7 g","Codex","266 x 187 x 99.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books|~|Commentaries","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 138","Old Collection","https://www.loc.gov/item/00279384246-ms/","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1q25rdg/manifest","delivery 7.1","",""
"","","Sinai, St. Catherine’s Monastery, Arabic 154","John Baptist. A hymn. Gospel commentary","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k950r1%2F6k82s708/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1k950r1","Work","","","","801/900","9th c. CE","","","","","","","","","Kamil","","","140 ff.","493.3 g","Codex","184 x 137 x 53.0 mm","Parchment","","","","","","","","","","","text","Biblical texts|~|Commentaries","ara","right-to-left","Arabic","Kufic","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 154","Old Collection","https://www.loc.gov/item/00279384386-ms/","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k950r1/manifest","delivery 7.1","",""
"","","Sinai, St. Catherine’s Monastery, Arabic 193","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj481q%2F6n58p21q/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1fj481q","Work","","Horologion","","1372","1372 CE","","","","","","","","","Kamil","","","224 ff.","999.0 g","Codex","187 x 150 x 90.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 193","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891649","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fj481q/manifest","delivery 7.1","",""
"","","Sinai, St. Catherine’s Monastery, Arabic 202","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s3h6n%2F5x49r12h/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z19s3h6n","Work","","Horologion","","1201/1300","13th c. CE","","","","","","","","","Kamil","","","153 ff.","709.2 g","Codex","198 x 143 x 84.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 202","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871384","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19s3h6n/manifest","delivery 7.1","",""
"","","Sinai, St. Catherine’s Monastery, Arabic 292","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1612rfs%2Fdp698x05/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1612rfs","Work","Commentary on the Gospel of St. John by St. John Chrysostom, Part II","John Chrysostom, Saint, -407. Homilies on John","","1201/1300","13th c. CE","","John Chrysostom, Saint, -407","","","Begins with discourse no. 45 and ends with no. 88","","","","Kamil","","","377 ff.","2596.2 g","Codex","276 x 193 x 106.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Commentaries","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 292","Old Collection","https://www.loc.gov/item/0027938474A-ms/","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1612rfs/manifest","delivery 7.1","",""
"","","Sinai, St. Catherine’s Monastery, Arabic 356","Mimars of St. Macarius ; Life of St. Anthony by St. Athanasius ; Episodes from the Life of St. Pachomius","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12820qf%2Fzc77bf9z/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z12820qf","Work","","","","1186","1186 CE","","Macarius, the Egyptian, Saint, active 4th century","","","","","","","Kamil","","","217 ff.","1097.7 g","Codex","259 x 186 x 219.0 mm","Paper","","","","","","","","","Dated","","text","Theological works|~|Mimars","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 356","Old Collection","https://www.loc.gov/item/00279385469-ms/","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12820qf/manifest","delivery 7.1","",""
"","","Sinai, St. Catherine’s Monastery, Arabic 358","Mimars of St. Macarius","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh1hbh%2Ffz530f8t/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1xh1hbh","Work","","","","1201/1300","13th c. CE","","Macarius, the Egyptian, Saint, active 4th century","","","Begins with Mimar 2 and ends with Mimar 26","","","","Kamil","","","281 ff.","1737.5 g","Codex","239 x 165 x 85.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Mimars","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 358","Old Collection","https://www.loc.gov/item/00279385470-ms/","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xh1hbh/manifest","delivery 7.1","",""
"","","Sinai, St. Catherine’s Monastery, Arabic 392","Canons of Oecumenical Councils","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1st9fzn%2Fgd37px49/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1st9fzn","Work","","","","1201/1300","13th c. CE","","","","","Canons of Oecumenical Councils, beginning with the second Council of Constantinople, and including Canons of Clement Pope of Rome, Epiphanius Patriarch of Constantinople and St. Basil","","","","Kamil","","","305 ff.","839.3 g","Codex","176 x 140 x 87.0 mm","Paper","","","","","","","","","","","text","Canon law","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 392","Old Collection","https://www.loc.gov/item/00279389864-ms/","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1st9fzn/manifest","delivery 7.1","",""
"","","Sinai, St. Catherine’s Monastery, Arabic 431","Mimars, Homilies and Theological discourses","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28qb0%2Fxj826k8z/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1p28qb0","Work","","","","901/1000","10th c. CE","","Gregory, of Nazianzus, Saint|~|John Chrysostom, Saint, -407|~|Athanasius, Saint, Patriarch of Alexandria, -373","","","Miscellaneous Mimars, Homilies and Theological discourses, some of which are anonymous, and others by SS. Gregory Nazienzis, John Chrysostom and Athanasius of Alexandria. Lives of Saints, including those of SS. John the Merciful Patriarch of Alexandria, Basil of Caesarea, Nicolaus and Euphemanus of Rome","","","","Kamil","","","325 ff.","1363.8 g","Codex","191 x 151 x 110.0 mm","Parchment","","","","","","","","","","","text","Theological works|~|Mimars","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 431","Old Collection","https://www.loc.gov/item/00279390891-ms/","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1p28qb0/manifest","delivery 7.1","",""
