File Name,Item Sequence,Title,Descriptive title,Thumbnail URL,viewingHint,Parent ARK,Item ARK,Object Type,AltTitle.other,AltTitle.uniform,Place of origin,Date.normalized,Date.creation,Scribe,Author,Associated name,Contributors,Contents note,Colophon,Incipit,Explicit,References,Provenance,General note,Format.extent,Format.weight,Form,Format.dimensions,Support,Foliation,Page layout,Hand note,Illustrations note,Inscription,Additions,Binding note,Ink color,Features,Condition note,Type.typeOfResource,Type.genre,Language,Text direction,Writing system,Script,Script note,Rights.statementLocal,Rights contact,Name.repository,Shelfmark,AltIdentifier.local,Collection,Other version(s),IIIF Manifest URL,delivery,image count,Viscodex
,,"Sinai, St. Catherine’s Monastery, Arabic 134",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1mg9p1f,Work,Lectionary (Gospels),Evangelion,,1601/1700,17th c. CE,,,,,,,,,Kamil,,f. 381 watermark of bird,378 ff.,2382.6 g,codex,255 x 194 x 103.0 mm,Paper,,,,,,,,,,,text,Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 134,Sinai Arabic 134,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mg9p1f/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic 156",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1gq8x9q,Work,,Bible. Acts|~|Bible. Epistles,,1316,1316 CE,,"John Chrysostom, Saint, -407",,,"Acts of the Apostles, Epistles of St. Paul and Catholic Epistles, preceded by an introduction to each Epistle and followed by tables of Epistle readings with a commentary by St. John Chrysostom",,,,Kamil,,,252 ff.,1185.1 g,codex,212 x 157 x 97.0 mm,Paper,,,,,,,,,,,text,Biblical texts,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 156,Sinai Arabic 156,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gq8x9q/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic 200",Varia,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1c26w01,Work,,Horologion|~|Bible. Psalms|~|Psalter,,1201/1300,13th c. CE,,,"Andrew, of Crete, Saint, approximately 660-740",,"Horologion, Kathismata, Canon of Obeisance of Andrew Bishop of Crete, Canon of Our Lady by the Philosopher Eugenius of Constantinople, and Hours of the Vigil of the Nativity",,,,Kamil,,4 pages cut-removed between 156v-157r / 88AB,174 ff.,797.1 g,codex,217 x 155 x 59.0 mm,Paper,,,,,,,,,,,text,Liturgical texts|~|Biblical texts,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 200,Sinai Arabic 200,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c26w01/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic 237","Prayers, Theotokia",,paged,ark:/21198/z1bk2gmg,ark:/21198/z179646s,Work,,Bible. Psalms|~|Troparion,,1201/1300,13th c. CE,,,,,,,,,Kamil,,"f.1-2, 403-404 parchment;palimpsest",404 ff.,826.8 g,codex,164 x 135 x 116.0 mm,Paper,,,,,,,,,,,text,Liturgical texts|~|Hymnals,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 237,Sinai Arabic 237,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz179646s/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic 273",Mimars by St. Gregory the Theologian,,paged,ark:/21198/z1bk2gmg,ark:/21198/z13j5cfm,Work,,,,1216,1216 CE,,"Gregory, of Nazianzus, Saint",,,,,,,Kamil,,,507 ff.,3562.4 g,codex,271 x 201 x 138.0 mm,Paper,,,,,,,,,,,text,Theological works|~|Mimars,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 273,Sinai Arabic 273,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13j5cfm/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic 291",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1zs4w0s,Work,"Commentary on the Gospel of St. John by St. John Chrysostom, Part I","John Chrysostom, Saint, -407. Homilies on John",,1201/1300,13th c. CE,,"John Chrysostom, Saint, -407",,,,,,,Kamil,,,408 ff.,2659.8 g,codex,267 x 187 x 104.0 mm,Paper,,,,,,,,,,,text,Theological works|~|Commentaries,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 291,Sinai Arabic 291,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zs4w0s/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic 385",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1v14496,Work,St. Nicon the Hermit: Pandectes,"Nikon of the Black Mountain, ca. 1025-ca. 1100. Pandektēs",,1224,1224 CE,,"Nikon of the Black Mountain, ca. 1025-ca. 1100",,,,,,,Kamil,,,454 ff.,2671.6 g,codex,265 x 190 x 128.0 mm,Paper,,,,,,,,,,,text,Theological works|~|Apophthegmata,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 385,Sinai Arabic 385,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v14496/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic 390",Canons of Oecumenical Councils ; The Twelve Chapters of St. Cyril’s excommunication of Nestorius,,paged,ark:/21198/z1bk2gmg,ark:/21198/z19k68ws,Work,,,,,,,,,,,,,,Kamil,,,,,Codex,,Paper,,,,,,,,,,,text,Canon law,ara|~|grk,right-to-left,Arabic|~|Greek,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 390,Sinai Arabic 390,Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19k68ws/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic 478",Varia,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1kh2mvr,Work,,,,1201/1300,13th c. CE,,,,,"Mimars and miscellaneous discourses by St. Basil, including his monastic doctrines, followed by St. John Chrysostom’s commentary on the Epistles of the Ephesians, Thessalonians, Corinthians, Colossians and Hebrews",,,,Kamil,,,243 ff.,839.6 g,codex,218 x 169 x 55.0 mm,Paper,,,,,,,,,,,text,Theological works|~|Apophthegmata,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 478,Sinai Arabic 478,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kh2mvr/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic 526",Canons of Oecumenical Councils,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1fv0kk6,Work,,,,1101/1200,12th c. CE,,,,,,,,,Kamil,,,136 ff.,653.6 g,codex,265 x 183 x 45.0 mm,Paper,,,,,,,,,,,text,Canon law,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 526,Sinai Arabic 526,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fv0kk6/manifest,delivery 8.1,,
