File Name,Item Sequence,Visibility,Title,Thumbnail URL,viewingHint,Parent ARK,Item ARK,Object Type,AltTitle.other,AltTitle.uniform,Place of origin,Date.normalized,Date binding,Date.creation,Scribe,Author,Translator,Contents note,Colophon,Incipit,Explicit,References,Provenance,General note,Format.extent,Form,Format.dimensions,Support,Foliation,Page layout,Writing and hands,Illustrations note,Inscription,Additions,Binding note,Ink color,Features,Condition note,Type.typeOfResource,Type.genre,Language,Text direction,Writing system,Script,Script note,Rights.statementLocal,Rights contact,Name.repository,AltIdentifier.local,Collection (physical),Other version,IIIF Manifest URL,delivery
,,sinai,"Sinai Arabic 505. Martyrdoms and Lives of Saints ; Mimars ; Apophthegmata : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1ng688s,Work,,,,1201/1300,,13th c.,,,,"Mimars by SS. Gregory Nazienzis, Ephraem and John Chrysostom ; Life of St. Gregory of Sicily by Leontius ; Life of St. Stephan of the Monastery of St. Saba ; Martyrdom of St. Artemius, and of SS. Glaucus and Glycerius together with a group of women ; Epistles (7) of St. Ignatius ; Apophthegmata derived from the teachings of St. Moses the Black of Scetis, according to St. Cassian",,,,Kamil,,,342 ff. ; 2142.2 g,codex,268 x 185 x 93 mm,Paper,,,,,,,,,,,text,Historical works|~|Martyrologies,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 505,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Arabic 547. Paradise of the Fathers : manuscript, [12th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1hq5hkh,Work,,,,1101/1200,,12th c.,,,,"Paradise of the Fathers. Teachings derived from the works of SS. John Chrysostom, Basil, Ephraem, Nilus and other Saints and Fathers af the Church",,,,Kamil,,,106 ff. ; 900.7 g,codex,250 x 194 x 44 mm,Paper,,,,,,,,,,,text,Historical works|~|Hagiographies,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 547,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Arabic 563. Paradise of the Fathers : manuscript, 1257. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1cz4rtb,Work,,,,1257,,1257,,,,Includes treatise giving Arabic and Greek inscriptions on the icons found at al-Qusair Monastery,,,,Kamil,,,304 ff. ; 1474.7 g,codex,232 x 167 x 79 mm,Paper,,,,,,,,,,,text,Historical works|~|Hagiographies,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 563,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Arabic 579. Long treatise on Logic : manuscript, [12th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1892qj3,Work,,,,1101/1200,,12th c.,,,,,,,,Kamil,,,180 ff. ; 684.9 g,codex,237 x 177 x 47 mm,Paper,,,,,,,,,,,text,Philosophical works,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 579,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Arabic 589. Baruch : manuscript, [10th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z14j1zrg,Work,,Bible. Ezra|~|Bible. Baruch,,901/1100,,10th c.,,,,"Old Codex in very old Naskhi hand with Kufic features, containing the Prophecy of Baruch and the Book of Ezra from the Old Testament",,,,Kamil,,,68 ff. ; 786.1 g,codex,277 x 183 x 47 mm,Paper,,,,,,,,,,,text,Biblical texts,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 589,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Arabic 595. Prophetologion for Lent and all the great feasts of the year : manuscript, 1290. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z10s171j,Work,,Prophetologion,,1290,,1290,,,,,,,,Kamil,,,215 ff. ; 1275.6 g,codex,245 x 187 x 73 mm,Paper,,,,,,,,,,,text,Liturgical texts|~|Lectionaries|~|Biblical texts,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 595,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Arabic 597. Book of Daniel ; Salomon’s Proverbs : manuscript, 1002. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1w10qj5,Work,,Bible. Daniel|~|Bible. Proverbs,,1002,,1002,,,,"Old Codex written in ancient Naskhi with Kufic features. First 83 original folios contain the Book of Daniel and Salomon’s Proverbs. The rest, in different hand of later Naskhi, contains a historical treatise entitled “Book of the History of Years and Times” from the Creation to the Truce between the Fatimids of Egypt and the Byzantines",,,,Kamil,,,143 ff. ; 661.1 g,codex,250 x 162 x 41 mm,Paper,,,,,,,,,,,text,Biblical texts,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 597,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 110. Menologion : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1p85wh7,Work,,Menologion,,1201/1300,,13th c.,,,,,,,,Kamil,,,268 ff. ; 1658.2 g,codex,233 x 167 x 96 mm,Paper,,,,,,,,,,,text,Liturgical texts|~|Hagiographies,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 110,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 18. Menologion (1st Ilūl - 5 Kānūn I) : manuscript, [11th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1795p8x,Work,,Menologion,,1001/1100,,11th c.,,,,,,,,Kamil,,,251 ff. ; 1867.9 g,codex,255 x 205 x 96 mm,Parchment,,,,,,,,,,,text,Liturgical texts|~|Hagiographies,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 18,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 185. Menologion : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1jm3v9k,Work,,Menologion,,1201/1300,,13th c.,,,,,,,,Kamil,,,235 ff. ; 1741.4 g,codex,258 x 192 x 44 mm,Paper,,,,,,,,,,,text,Liturgical texts|~|Hagiographies,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 185,Sinai. Old Collection,,,4.4
