"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date binding","Date.creation","Scribe","Author","Associated name","Translator","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection (physical)","Other version(s)","image count","IIIF Manifest URL","delivery"
"","","St. Catherine's Monastery, Sinai Arabic 115","Four Gospels","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1447541","Work","","Bible. Gospels","","1201/1300","","13th c.","","","","","","","","","Kamil","","","279ff.","codex","181 x 148 x 72.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Gospel books","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 115","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1447541/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 124","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z10c6dfr","Work","","Lectionary","","1201/1300","","13th c.","","","","","Arabic Lectionary followed by a Greek Lectionary","","","","Kamil","","","236ff.","codex","213 x 154 x 70.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Lectionaries|~|Biblical texts","ara|~|grc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 124","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10c6dfr/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 144","Lectionary (Gospels), with commentary","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1vm5x0x","Work","","Evangelion","","1054","","1054","","","","","","","","","Kamil","","","204ff.","codex","184 x 146 x 76.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books|~|Commentaries","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 144","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vm5x0x/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 146","Gospel according to St. Matthew","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1qz3vph","Work","","Bible. Gospels|~|Bible. Matthew","","1201/1300","","13th c.","","","","","","","","","Kamil","","","56ff.","codex","211 x 149 x 16.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Gospel books","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 146","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qz3vph/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 152","Lectionary (Gospels and Epistles)","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1m63427","Work","","Lectionary","","1201/1300","","13th c.","","","","","","","","","Kamil","","","302ff.","codex","142 x 110 x 76.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 152","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m63427/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 159","Lectionary (Acts and Epistles), with tables of lessons and commentary","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1gf2c75","Work","","Lectionary","","1199","","1199","","","","","","","","","Kamil","","","273ff.","codex","215 x 157 x 85.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Commentaries","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 159","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gf2c75/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 160","Lectionary (Acts and Epistles)","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1bp1mg0","Work","","Lectionary","","1201/1300","","13th c.","","","","","","","","","Kamil","","","238ff.","codex","212 x 152 x 71.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Lectionaries|~|Biblical texts","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 160","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bp1mg0/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 168","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z16x0vr8","Work","","Bible. Acts|~|Bible. Epistles","","1238","","1238","","John Chrysostom, Saint, -407","","","Acts. Epistles of St. Paul and Catholic Epistles preceded by an introduction and a chapter index, and divided according to Greek Calendar, followed by table of lessons from Acts and Epistles recited throughout the year, and commentary on lessons for Sundays by St. John Chrysostom","","","","Kamil","","","506ff.","codex","182 x 160 x 142.0 mm","Paper","","","","","","","","","","","text","Biblical texts","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 168","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16x0vr8/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 190","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1350423","Work","","Horologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","223ff.","codex","147 x 121 x 79.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 190","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1350423/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 20","Psalter and Odes","","paged","ark:/21198/z1bk2gmg","ark:/21198/z154468d","Work","","Bible. Psalms|~|Bible. Odes|~|Psalter","","1201/1300","","13th c.","","","","","","","","","Kamil","","","230ff.","codex","165 x 120 x 69.0 mm","Parchment","","","","","","","","","","","text","Biblical texts|~|Liturgical texts","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 20","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz154468d/manifest","delivery 6.1"
