File Name,Item Sequence,Title,Descriptive title,Thumbnail URL,viewingHint,Parent ARK,Item ARK,Object Type,AltTitle.other,AltTitle.uniform,Place of origin,Date.normalized,Date.creation,Scribe,Author,Associated name,Contributors,Contents note,Colophon,Incipit,Explicit,References,Provenance,General note,Format.extent,Format.weight,Form,Format.dimensions,Support,Foliation,Page layout,Hand note,Illustrations note,Inscription,Additions,Binding note,Ink color,Features,Condition note,Type.typeOfResource,Type.genre,Language,Text direction,Writing system,Script,Script note,Rights.statementLocal,Rights contact,Name.repository,Shelfmark,Collection,Other version(s),IIIF Manifest URL,delivery,image count,Viscodex
,,"Sinai, St. Catherine’s Monastery, Syriac NF M 10",Evagrius on passions ; Letters of Saint Basil to Saint Gregory,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1612rfs%2Fgs31tc0g/full/!200,200/0/default.jpg",paged,ark:/21198/z1bk2gmg,ark:/21198/z1hb0xc3,Work,,,,701/900,8th c. CE,,"Evagrius, Ponticus, 345?-399|~|Basil, Saint, Bishop of Caesarea, approximately 329-379",,,"Estrangelo fragment pasted on cover is New Testament , Matthew 6:3-7 ; Texts by Evagrius",,,,Philothée,,,33 ff.,126.6 g,Quire(s),177 x 114 x 60.0 mm,Parchment,,,,,,,,,,,text,Theological works,syc,right-to-left,Syriac,Estrangela,Very fine Estrangelo,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF M 10,New Finds,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hb0xc3/manifest,delivery 7.2,,
,,"Sinai, St. Catherine’s Monastery, Syriac NF M 13",Lives of the Saints,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1612rfs%2F8196zs4t/full/!200,200/0/default.jpg",paged,ark:/21198/z1bk2gmg,ark:/21198/z1ck05m9,Work,,,,801/1000,9th-10th c. CE,,,,,Cyril of Schythopolis' Life of St Euthymios ,,,,Philothée,,Palimpsest Syriac over Syriac,73 ff.,246.5 g,Quire(s),166 x 122 x 48.0 mm,Parchment,,,,,,,,,Palimpsest,ff. 82v-84r stuck together,text,Hagiographies,syc,right-to-left,Syriac,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF M 13,New Finds,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ck05m9/manifest,delivery 7.2,,
,,"Sinai, St. Catherine’s Monastery, Syriac NF M 14",Canons and a set of scriptural hymns for liturgical use,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17s9dw1%2Fbh58jj3j/full/!200,200/0/default.jpg",paged,ark:/21198/z1bk2gmg,ark:/21198/z17s9dw1,Work,,,,801/1000,9th-10th c. CE,,,,,,,,,Philothée,,,77 ff.,346.8 g,Codex,202 x 163 x 33.0 mm,Parchment,,,,,,,,,,,text,Liturgical texts|~|Hymnals,syc,right-to-left,Syriac,Serto,"Beautiful script at the beginning, very disorderly later; two scribes; some notes in the margins",Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF M 14,New Finds,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17s9dw1/manifest,delivery 7.2,,
,,"Sinai, St. Catherine’s Monastery, Syriac NF M 15","Acts of Symeon Stylite, by Theodoret","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1612rfs%2F49479x6s/full/!200,200/0/default.jpg",paged,ark:/21198/z1bk2gmg,ark:/21198/z1418p8c,Work,,,,932/933,10th c. CE,,"Theodoret, Bishop of Cyrrhus, 393-466","Simeon Stylites, Saint, 380-459",,Life of St Symeon the Younger Stylite ; translation was made in 828,,,,Philothée,,,118 ff.,870.8 g,Codex,253 x 193 x 54.0 mm,Parchment,,,,,,,,,,,text,Hagiographies,syc,right-to-left,Syriac,Estrangela,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF M 15,New Finds,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1418p8c/manifest,delivery 7.2,,
,,"Sinai, St. Catherine’s Monastery, Syriac NF M 16",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj76t1%2Fz865qc0f/full/!200,200/0/default.jpg",paged,ark:/21198/z1bk2gmg,ark:/21198/z10c6mxh,Work,,Paraklesis,,901/1000,10th c. CE,,,,,,,,,Philothée,,"ff. 1-80 on parchment,  ff. 81-120 on paper",192 ff.,767.8 g,Codex,200 x 170 x 85.0 mm,Parchment|~|Paper,,,,,,,,,,,text,Liturgical texts,syc,right-to-left,Syriac,Serto|~|Estrangela,"Alap Estrangelo, Serto script",Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF M 16,New Finds,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10c6mxh/manifest,delivery 7.2,,
,,"Sinai, St. Catherine’s Monastery, Syriac NF M 17",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm64g2%2Ftv96gp70/full/!200,200/0/default.jpg",paged,ark:/21198/z1bk2gmg,ark:/21198/z1vm64g2,Work,,Euchologion,,901/1100,10th c. CE,,,,,"Melkite baptismal service, attributed to Basil",,,,Philothée,,,77 ff.,166.9 g,Codex,129 x 106 x 44.0 mm,Parchment,,,,,,,,,Palimpsest,,text,Liturgical texts,syc|~|ara,right-to-left,Syriac|~|Arabic,Kufic,Palimpsest in what appears to be Arabic in Quranic Kufic,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF M 17,New Finds,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vm64g2/manifest,delivery 7.2,,
,,"Sinai, St. Catherine’s Monastery, Syriac NF M 20","Babai the Great's commentary on scripture ; Homilies of Shubhalmaran, Bishop of Karka of Beth Selok ; Relations of Paul of Egypt ; Relations of John of the Thebaid ; Relations of Pachomius of Tabennsis","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv2dzm%2Fgz65b03s/full/!200,200/0/default.jpg",paged,ark:/21198/z1bk2gmg,ark:/21198/z1qv5crb,Work,,,,801/900,9th c. CE,,"Shubhalmaran, Bishop of Karka of Beth Selok|~|Babai, Mar, active 553-628","John of the Thebaid|~|Pachomius, Saint",,7th or 8th century ,,,,Philothée,,,137 ff.,617.1 g,Codex,181 x 135 x 60.0 mm,Parchment,,,,,,,,,,,text,Commentaries|~|Hagiographies,syc,right-to-left,Syriac,Estrangela,"Estrangelo script, circa 7th-8th century",Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF M 20,New Finds,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qv5crb/manifest,delivery 7.2,,
,,"Sinai, St. Catherine’s Monastery, Syriac NF M 23",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m34mxk%2Fcz56dc8q/full/!200,200/0/default.jpg",paged,ark:/21198/z1bk2gmg,ark:/21198/z1m34mxk,Work,,Evangelion,,801/1000,9th-10th c. CE,,,,,"New Testament , John 3:26-7",,,,Philothée,,,13 ff.,178.8 g,Codex,180 x 137 x 25.0 mm,Parchment,,,,,,,,,Palimpsest,,text,Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books,syc,right-to-left,Syriac,Serto|~|Estrangela,Palimpsest on two columns in Estrangela from the 4th-5th c.,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF M 23,New Finds,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m34mxk/manifest,delivery 7.2,,
,,"Sinai, St. Catherine’s Monastery, Syriac NF M 24",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv2dzm%2Fvw09x83v/full/!200,200/0/default.jpg",paged,ark:/21198/z1bk2gmg,ark:/21198/z1gb3w5t,Work,,Bible. Kings,,601/700,7th c. CE,,,,,"Book of Kings , with a beautiful portrait of King David",,,,Philothée,,,19 ff.,142.3 g,Codex,245 x 170 x 17.0 mm,Parchment,,,,Full page miniature of the prophet David [f. 1r],,,,,"Decoration, Full-page|~|Miniature(s)",,text,Biblical texts,syc,right-to-left,Syriac,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF M 24,New Finds,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gb3w5t/manifest,delivery 7.2,,
,,"Sinai, St. Catherine’s Monastery, Syriac NF M 25",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk34hc%2F2z771v3x/full/!200,200/0/default.jpg",paged,ark:/21198/z1bk2gmg,ark:/21198/z1bk34hc,Work,,"Basil, Saint, Bishop of Caesarea, approximately 329-379. Hexaemeron|~|Jacob, of Serug, 451-521, Homilies on the Six Days of Creation",,501/600,6th c. CE,,"Basil, Saint, Bishop of Caesarea, approximately 329-379|~|Jacob, of Serug, 451-521",,,,,,,Philothée,,,9 ff.,59.9 g,Quire(s),224 x 145 x 17.0 mm,Parchment,,,,,,,,,,,text,Commentaries|~|Theological works,syc,right-to-left,Syriac,Estrangela,"Estrangelo, 4th-5th century",Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF M 25,New Finds,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bk34hc/manifest,delivery 7.2,,
