File Name,Item Sequence,Visibility,Title,Thumbnail URL,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,AltTitle.other,AltTitle.uniform,Place of origin,Date.normalized,Date binding,Date.creation,Scribe,Illuminator,Rubricator,Author,Commentator,Compiler,Translator,Summary,Contents note,Colophon,Incipit,Explicit,Motif,Bibliography,References,Provenance,Signature,General note,Physical Description,Format.extent,Format,Format.dimensions,Support,Foliation,Collation,Page layout,Writing and hands,Illustrations note,Inscription,Additions,Binding note,Ink color,Features,Condition note,Type.typeOfResource,Type.genre,Language,Text direction,Writing system,Script,Script note,Rights.statementLocal,Rights contact,Name.repository,AltIdentifier.local,Series,Collection (physical),Undertext object(s),Overtext mss,Other version,Ms cataloger/scholar,(originator of the digitized object),Lens make | Lens model,Aperature,Camera Operator,IIIF Manifest URL
,,sinai,"Sinai Arabic 18. Prophetologion : manuscript, 1350. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs6ztt%2Fvw46x22j/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1xs6ztt,Work,,Prophetologion,,1350,,1350,,,,,,,,,,,,,,,Kamil,,,,,249 ff. ; 1504.7 g,Codex,217 x 168 x 96 mm,Paper,,,,,,,,,,Rubrication|~|Marginalia|~|Headpiece(s),,text,Liturgical texts|~|Lectionaries|~|Biblical texts,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 18,,Sinai. Old Collection,,,,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",Schneider | APO-DIGITAR 120/5.6 SES,11,Christos Georgiades,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xs6ztt/manifest
,,sinai,"Sinai Arabic 25. Psalter and Horologion : manuscript, 1259. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t16719%2F4002sp4b/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1t16719,Work,,Bible. Psalms|~|Horologion|~|Psalter,,1259,,1259,,,,,,,,,,,,,,,Kamil,,,,,168 ff. ; 1026.9 g,Codex,222 x 149 x 64 mm,Paper,,,,,,,,,,"Rubrication|~|Decoration, Vegetative|~|Headpiece(s)|~|Marginalia",,text,Biblical texts|~|Liturgical texts,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 25,,Sinai. Old Collection,,,,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",Schneider | APO-DIGITAR 90/4.8 SES,11,Vasilis Kasotakis,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1t16719/manifest
,,sinai,"Sinai Arabic 42. Psalter and Odes : manuscript, 1790. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p85g7p%2F5r67253t/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1p85g7p,Work,,Bible. Psalms|~|Bible. Odes|~|Psalter,,1790,,1790,,,,,,,,,,,,,,,Kamil,,,,,174 ff. ; 437.9 g,Codex,173 x 134 x 39 mm,Paper,,,,,,,,,,"Rubrication|~|Decoration, Vegetative|~|Decoration, Geometric|~|Decoration, Zoomorphic|~|Illustration(s)|~|Headpiece(s)|~|Colophon|~|Marginalia",,text,Biblical texts|~|Liturgical texts,ara,right-to-left,Arabic,,Thuluth(?),Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 42,,Sinai. Old Collection,,,,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",Schneider | APO-DIGITAR 90/4.8 SES,11,Vasilis Kasotakis,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1p85g7p/manifest
,,sinai,"Sinai Arabic 44. Psalter and Odes : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh4qjd%2Fj021w88m/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1jh4qjd,Work,,Bible. Psalms|~|Bible. Odes|~|Psalter,,1201/1300,,13th c.,,,,,,,,,,,,,,,Kamil,,,,,154 ff. ; 959.8 g,Codex,220 x 157 x 80 mm,Paper,,,,,,,,,,Rubrication|~|Marginalia,,text,Biblical texts|~|Liturgical texts,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 44,,Sinai. Old Collection,,,,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",Schneider | APO-DIGITAR 90/4.8 SES,11,Lampros Galanis,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jh4qjd/manifest
,,sinai,"Sinai Arabic 48. Psalter and Odes : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr3zwk%2F5r83768w/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1dr3zwk,Work,,Bible. Psalms|~|Bible. Odes|~|Psalter,,1201/1300,,13th c.,,,,,,,,,,,,,,,Kamil,,,,,207 ff. ; 1069.7 g,Codex,215 x 148 x 84 mm,Paper,,,,,,,,,,"Rubrication|~|Decoration, Geometric|~|Headpiece(s)|~|Colophon",,text,Biblical texts|~|Liturgical texts,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 48,,Sinai. Old Collection,,,,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",Schneider | APO-DIGITAR 90/4.8 SES,11,Vasilis Kasotakis,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dr3zwk/manifest
,,sinai,"Sinai Arabic 66. Psalter and Commentary : manuscript, 1266. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1931xh0%2Fm130cp0d/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1931xh0,Work,,Bible. Psalms|~|Psalter,,1266,,1266,,,,"Anṭākī, ʻAbd Allāh ibn al-Faḍl, -approximately 1052",,,,,"Psalms 2 to 151. Kathismata inserted in text. Commentary by ‘Abdallah ibn al-Fadl of Antioch. Followed by treatise in 71 chapters on ethics and religious doctrine entitled “Kitab ar-Raudah” with extracts from the Old and New Testaments, the sayings of the Fathers and a considerable number of ancient philosophers",,,,,,Kamil,,,,,396 ff. ; 1711.6 g,Codex,214 x 153 x 105 mm,Paper,,,,,,,,,,"Rubrication|~|Marginalia|~|Decoration, Geometric",,text,Biblical texts|~|Liturgical texts|~|Commentaries,ara,right-to-left,Arabic,Naskh|~|Greek minuscule,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 66,,Sinai. Old Collection,,,,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",Schneider | APO-DIGITAR 90/4.8 SES,11,Vasilis Kasotakis,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1931xh0/manifest
,,sinai,"Sinai Arabic 77. Four Gospels : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15b15vj%2Fs3412370/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z15b15vj,Work,,Bible. Gospels,,1201/1300,,13th c.,,,,,,,,,,,,,,,Kamil,,,,,258 ff. ; 1452.3 g,Codex,222 x 157 x 86 mm,Paper,,,,,,,,,,Rubrication|~|Marginalia|~|Colophon,,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 77,,Sinai. Old Collection,,,,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",Schneider | APO-DIGITAR 90/4.8 SES,11,Vasilis Kasotakis,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15b15vj/manifest
,,sinai,"Sinai Arabic 79. Four Gospels : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k0f64%2Fnm65hw9r/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z11k0f64,Work,,Bible. Gospels,,1201/1300,,13th c.,,,,,,,,,,,,,,,Kamil,,,,,324 ff. ; 1763.8 g,Codex,225 x 165 x 90 mm,Paper,,,,,,,,,,"Rubrication|~|Decoration, Geometric|~|Headpiece(s)|~|Marginalia",,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 79,,Sinai. Old Collection,,,,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",Schneider | APO-DIGITAR 90/4.8 SES,11,Lampros Galanis,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11k0f64/manifest
,,sinai,"Sinai Arabic 83. Four Gospels : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ws9xmj%2Fw501t44s/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1ws9xmj,Work,,Bible. Gospels,,1201/1300,,13th c.,,,,,,,,,,,,,,,Kamil,,,,,293 ff. ; 1383.8 g,Codex,225 x 160 x 80 mm,Paper,Folios 16r-v 17r-v 18r-v missing / foliation jumps from 15r to 19r,,,,,,,,,Rubrication|~|Marginalia|~|Colophon,,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh|~|Estrangela,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 83,,Sinai. Old Collection,,,,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",Schneider | APO-DIGITAR 120/5.6 SES,11,Vasilis Kasotakis,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ws9xmj/manifest
,,sinai,"Sinai Arabic 87. Four Gospels : manuscript, 1478. St. Catherine's Monastery, Sinai, Egypt","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s195tm%2Fsz66qk3r/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1s195tm,Work,,Bible. Gospels,,1478,,1478,,,,,,,,,,,,,,,Kamil,,,,,183 ff. ; 833 g,Codex,219 x 163 x 52 mm,Paper,,,,,,,,,,"Rubrication|~|Decoration, Geometric|~|Headpiece(s)|~|Colophon",,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 87,,Sinai. Old Collection,,,,,"Statement of responsibility: Imaging performed under the auspices of His Eminence Archbishop Damianos and The Holy Council, Father Justin Sinaites Librarian, Early Manuscripts Electronic Library. Phelps Michael B. Project Director; Kasotakis Damianos. Imaging Director",Schneider | APO-DIGITAR 120/5.6 SES,11,Lampros Galanis,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1s195tm/manifest
