"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date.creation","Scribe","Author","Associated name","Contributors","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection","Other version(s)","IIIF Manifest URL","delivery","image count","Viscodex"
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 12","Works of John Chrysostom; Works of Ephrem; Lives and martyrdoms of saints","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wh4g47%2Ffn83h779/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1wh4g47","Work","","Bible. Kings|~|Bible. Beatitudes","","","n.d. CE","","John Chrysostom, Saint, -407|~|Abū Qurrah, Thāwdhūrus, approximately 750-825","John, the Apostle, Saint","","1. St. John Chrysostom concerning prayer; 2. Work of St. Basil the blessed teacher; 3. St. Mark on repentance; 4. Work of Ephrem containing twenty nine articles; 5. Mimar concerning the authenticity of the Gospels by Theodorus bishop of Harran; 6. From the work of St. John Chrysostom, its incipit: ""if you sit reading the word of God then entreat him and pray that your eyes open your heart""; 7. From the work of St. Ephrem, he distinguishes between good and evil; 8. From the work of John Chrysostom on repentance; 9. Exegesis of Lord's prayer which our Lord Christ taught his disciples in the Gospel; 10. Exegesis of Beatitudes by St. John Chrysostom; 11. The Beatitudes spoken by our Lord Jesus in the holy Gospel; 12. Exegesis of the faith of the central Church; 13. From the work of St. John Chrysostom on the body; 14. The martyrdom of Peter, leader of the Apostles and disciple of Christ; 15. Story of saints Cyranes and Justine; 16. Story of St. Euphrosyne; 17. Story and martyrdom of the blessed and kindly St. Barbara; 18. The story and martyrdom of saints Sophia and her daughters; 19. The story and martyrdom of the blessed saint Mar Georgios; 20. The story of Xenophon and his wife Mary and their two sons John and Arcadius; 21. From an account of St. John Chrysostom concerning Mary and Martha and their brother Lazarus, the Prophet Elias, and Hell, and what he said concerning profit;  22. From an account of Mar Ephrem concerning the Transfiguration of our Lord Christ on Mt. Tabor, the holy mountain, the blessed mountain, the greatest mountain; 23. From an account of the blessed St. John Chrysostom concerning the cross and the departure of Adam our first ancient father from the Garden by the word of God; 24 From an account of St. Mar Ephrem ... incipit: ""O loved ones, O brothers, who is able to speak and pronounce all that must be concerning the wonders of our Lord and our God Jesus Christ""; 25. From an account of St. John Chrysostom concerning the Apostle John; 26. From an account of St. Chrysostom concerning spiritual love; 27. Account of Mar Ephrem concerning fasting","","","","Meimaris","","","174 ff.","612.1 g","Codex","181 x 161 x 70.0 mm","Parchment","","","","","","","","","","","text","Commentaries|~|Martyrologies|~|Mimars|~|Gospel books|~|Theological works","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 12","New Finds","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wh4g47/manifest","delivery nf_1","360",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 28","Mimar and sermon of John Chrysostom","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n02zkr%2Fq878hh1t/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1n02zkr","Work","","Bible. John|~|Bible. Epistles of Paul","","","n.d. CE","","John Chrysostom, Saint, -407","","","1. The Gospel of John; 2. Mimar of our holy father John Chrysostom of the ecumenical teacher, archbishop of the City of Byzantium of the Birth of our Lord Jesus Christ; 3. The other word of John Chrysostom, sermon to the monks; 4. From the canon of the apostles. Testament of the Apostle Paul. ","","","","Meimaris","","","16 ff.","40.1 g","Quire(s)","192 x 140 x 20.0 mm","Parchment","","","","","","","","","Palimpsest","","text","Gospel books|~|Biblical texts|~|Theological works","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 28","New Finds","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n02zkr/manifest","delivery nf_1","35",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 5","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70x6%2Ft5195z81/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z14x70x6","Work","Excerpts from the Bible","Bible","","","n.d. CE","","","","","","","","","Meimaris","","","8 ff.","23.7 g","Quire(s)","205 x 140 x 15.0 mm","Parchment","","","","","","","","","","","text","Biblical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 5","New Finds","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14x70x6/manifest","delivery nf_1","19",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 7","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1156866%2Fcn791j0n/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1156866","Work","","Lectionary","","","n.d. CE","","","","","","","","","Meimaris","","","127 ff.","899.3 g","Codex","212 x 146 x 63.0 mm","Parchment","","","","","","","","","","","text","Lectionaries","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 7","New Finds","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1156866/manifest","delivery nf_1","267",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF X 4","Works on Church history and theology of Christian denominations","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h726vd%2Fb210455q/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1h726vd","Work","","","","1192","1192 CE","","Antiochus, monk of Palestine, active 7th century","Abū Qurrah, Thāwdhūrus, approximately 750-825","","1. Mimars of Antiochus the monk of the Holy Larva of Mar Saba to Eustathius an abbot of the monastery known as Attaline in the city of Ankara in Galatia whose abbots number one hundred and thirty (of which we have the following five: {126}. Concerning the call of God, {127}. Concerning the fear of God, {128}. Concerning divine love, {129}. Concerning the role of prophecy, {130}. Concerning the Kingdom of Heaven); 2. Treatise regarding the Seven Holy Councils (from the first to the seventh); 3. Explanation of the beliefs of the Nestorian, Jacobite, Maronite, Arianistic, Macedonian, Armenian; 4 . Explanation of the beliefs of St. Theodore, bishop of Harran known as Abu Qurrah; 5. Also his treatise on regarding the meaning of the beliefs of the Orthodox Christians and the Oneness of the Creator and the denial of the shameful accusation which their opponents level against them without merit; 6. Response against those trangessing the faith of proper orthodoxy","","","","Meimaris","","","85 ff.","259.1 g","Codex","185 x 138 x 25.0 mm","Paper","","","","decorative elements: 56v","","","","","Dated","","text","Mimars|~|Historical works|~|Theological works","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF X 4","New Finds","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1h726vd/manifest","delivery nf_1","175",""
"","","Sinai, St. Catherine’s Monastery, Greek NF MG 9","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg1g5j%2Fkd13sr0p/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1cg1g5j","Work","Psalms with a translation in Arabic","Bible. Psalms","","801/900","9th c. CE","","","","","","","","","","","","116 ff.","547.4 g","Codex","207 x 162 x 51.0 mm","Parchment","","","","","","","","","","","text","Biblical texts","ara|~|grc","","Arabic|~|Greek","Kufic|~|Greek majuscule","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Greek NF MG 9","New Finds","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cg1g5j/manifest","delivery nf_1","246",""
"","","Sinai, St. Catherine’s Monastery, Syriac NF X 35","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q0qj5%2Fjr47t629/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z17q0qj5","Work","","Bible. Acts|~|Bible. Epistles of Paul","","","n.d. CE","","","","","1. Reading of the Acts of the Apostles; 2. Epistles of St. Paul to the Galatians, the Ephesians, the Colossians, letters to Timothy for the Sunday sabbath with instructions for the week","","","","Philothée","","","14 ff.","64.2 g","Quire(s)","260 x 176 x 5.0 mm","Paper","","","","","","","","","","","text","Biblical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac NF X 35","New Finds","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17q0qj5/manifest","delivery nf_1","31",""
"","","Sinai, St. Catherine’s Monastery, Syriac NF X 36","Book of prayers","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13x9zsf%2Ffx92h64b/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z13x9zsf","Work","","Hymns|~|Canticles","","","n.d. CE","","","","","","","","","Philothée","","","6 ff.","34.8 g","Quire(s)","272 x 202 x 2.0 mm","Paper","","","","","","","","","","","text","Hymnals|~|Prayers","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac NF X 36","New Finds","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13x9zsf/manifest","delivery nf_1","15",""
"","","Sinai, St. Catherine’s Monastery, Syriac NF X 37","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1087xf9%2Fxj03k79w/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1087xf9","Work","","Euchologion","","701/800","8th c. CE","","","","","Long euchologue, with the eleven Resurrection Gospels ","","","","Philothée","","FJ: Date cant be correct MS on paper","10 ff.","51.9 g","Quire(s)","266 x 192 x 6.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","Syriac","Melkite","Melkite script circa 8th century","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac NF X 37","New Finds","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1087xf9/manifest","delivery nf_1","23",""
"","","Sinai, St. Catherine’s Monastery, Syriac NF X 38","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vh7f0v%2F7t772m3t/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1vh7f0v","Work","","Euchologion","","701/800","8th c. CE","","","","","","","","","Philothée","","FJ: Date cant be correct MS on paper","8 ff.","21.2 g","Quire(s)","188 x 130 x 3.0 mm","Paper","","","Manuscript made up of six different folios from four scribes ","","","","","","Fragment","","text","Liturgical texts","ara|~|syc","right-to-left","Syriac","Estrangela","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac NF X 38","New Finds","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vh7f0v/manifest","delivery nf_1","19",""
