"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date.creation","Scribe","Author","Associated name","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection (physical)","Other version(s)","IIIF Manifest URL","delivery","image count"
"","","Sinai, St. Catherine’s Monastery, Arabic 119","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1h14qgc","Work","Lectionary (Gospels)","Evangelion","","1245","1245","","","","","","","","Kamil","","","437 ff.","2638.2 g","codex","265 x 205 x 130.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 119","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1h14qgc/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 133","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1c83zq6","Work","Lectionary (Gospels)","Evangelion","","1003","1003","","","","","","","","Kamil","","","138 ff.","729.3 g","codex","190 x 154 x 58.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 133","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c83zq6/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 184","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z17h3708","Work","Horologion according to Coptic rite","Horologion","","1401/1500","15th c.","","","","","","","","Kamil","","","165 ff.","298.4 g","codex","135 x 110 x 53.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 184","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz17h3708/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 187","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z13r2g90","Work","","Horologion","","1201/1300","13th c.","","","","","","","","Kamil","","","82 ff.","271.2 g","codex","155 x 106 x 36.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 187","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz13r2g90/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 206","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1001qkk","Work","","Horologion","","1304","1304","","","","","","","","Kamil","","","155 ff.","397.8 g","codex","141 x 113 x 63.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 206","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1001qkk/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 23","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1v7171s","Work","Psalter and Odes","Bible. Psalms|~|Bible. Odes|~|Psalter","","1301/1400","14th c.","","","","","","","","Kamil","","","188 ff.","662.3 g","codex","165 x 147 x 72.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 23","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v7171s/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 268","Works of Dionysius the Areopagite","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1qj95sq","Work","","","","1225","1225","","Dionysius, the Areopagite, Saint, active 1st century","","The Book (moshaf) of Dionysius the Areopagite ; On Priesthood by Dionysius the Areopagite, Judge and Bishop of Athens and Disciple of St. Paul the Apostle","","","","Kamil","","","318 ff.","1978.2 g","codex","266 x 184 x 120.0 mm","Paper","","","","","","","","","Dated","","text","Theological works|~|Apophthegmata","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 268","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qj95sq/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 275","Mimars by St. Gregory the Theologian","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1ks8f1z","Work","","","","1201/1300","13th c.","","Gregory, of Nazianzus, Saint","","","","","","Kamil","","","345 ff.","2764.4 g","codex","262 x 188 x 96.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Mimars","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 275","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ks8f1z/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 289"," Discourses of St. Basil","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1g17p83","Work","","John Chrysostom, Saint, -407. Homilies on the Gospel of Saint Matthew|~|John Chrysostom, Saint, -407. | Homilies on First Corinthians","","1201/1300","13th c.","","John Chrysostom, Saint, -407|~|Basil, Saint, Bishop of Caesarea, approximately 329-379","","","","","","Kamil","","","519 ff.","3326.9 g","codex","263 x 187 x 128.0 mm","Paper","f.98 is written as 88 ; f.425 is written as 525","","","","","","","","","","text","Theological works|~|Commentaries","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 289","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g17p83/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 311","Mimars by St. Ephraem the Syrian","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1b86xkt","Work","","","","1001/1100","11th c.","","Ephraem, Syrus, Saint, 303-373|~|Gregory, of Nyssa, Saint, approximately 335-approximately 394","","Mimars by St. Ephraem the Syrian followed by an encomium addressed to him by St. Gregory Bishop of Nyssa","","","","Kamil","","","314 ff.","2211.6 g","codex","263 x 197 x 95.0 mm","Parchment","","","","","","","","","","","text","Theological works|~|Mimars","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 311","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b86xkt/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 317","Works of St. John Damascene ; Patristica on the Faith by Bishop ‘Abdallah ibn al-Fadl","","paged","ark:/21198/z1bk2gmg","ark:/21198/z16h65wx","Work","","","","1223","1223","","John, of Damascus, Saint|~|Anṭākī, ʻAbd Allāh ibn al-Faḍl, -approximately 1052","","One Hundred theological discourses by St. John Damascene. Treatise on Logic in 53 chapters by St. John Damascene, followed by his life. Abridged Patristica on the Faith by Bishop ‘Abdallah ibn al-Fadl. Constitution of the Orthodox Faith by St. John Damascene","","","","Kamil","","","468 ff.","3271.3 g","codex","263 x 194 x 131.0 mm","Paper","","","","","","","","","Dated","","text","Theological works|~|Apophthegmata","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 317","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz16h65wx/manifest","delivery 6.3",""
