"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date binding","Date.creation","Scribe","Author","Associated name","Translator","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection (physical)","Other version(s)","image count","IIIF Manifest URL","delivery"
"","","St. Catherine's Monastery, Sinai Arabic 118","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z10z8n0f","Work","Lectionary (Gospels), With commentary on some lessons by St. John Chrysostom","Evangelion","","1254","","1254","","John Chrysostom, Saint, -407","","","","","","","Kamil","","","238 ff.","1823.7 g","codex","262 x 183 x 85.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books|~|Commentaries","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 118","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 128","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1w684hf","Work","Lectionary (Gospels)","Evangelion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","274 ff.","2034.6 g","codex","258 x 186 x 89.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books","ara|~|syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 128","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 147","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1rf7cr8","Work","Four Gospels and Epistles of St. Paul","Bible. Gospels|~|Bible. Epistles of Paul","","1201/1300","","13th c.","","","","","","","","","Kamil","","","275 ff.","849 g","codex","208 x 161 x 66.0 mm","Paper","f.270 written as f.290","","","","","","","","","","text","Biblical texts|~|Gospel books","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 147","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 158","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1mp6mzn","Work","","Bible. Acts|~|Bible. Epistles","","1232","","1232","","John Chrysostom, Saint, -407","","","Acts of the Apostles and Epistles of St. Paul preceded by introduction and table of contents, and followed by St. John Chrysostom’s commentary on the Acts and a table of lessons from both Acts and Epistles","","","","Kamil","","","181 ff.","1603.5 g","codex","276 x 211 x 61.0 mm","Paper","","","","","","","","","Dated","","text","Biblical texts","ara|~|grc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 158","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 166","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1gx5w7b","Work","","Bible. Epistles","","1101/1200","","12th c.","","","","","","","","","Kamil","","","268 ff.","517.1 g","codex","150 x 102 x 64.0 mm","Paper","","","","","","","","","","","text","Biblical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 166","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 17","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z11v6zq3","Work","","Prophetologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","200 ff.","633 g","codex","149 x 127 x 67.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Lectionaries|~|Biblical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 17","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 181","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1c554jr","Work","","Horologion","","1238","","1238","","","","","","","","","Kamil","","","143 ff.","759.2 g","codex","173 x 152 x 65.0 mm","Paper","","","","decorative elements: 68r, 45v, 94v, 112v, 127v","","","","","Dated","","text","Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 181","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 191","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z17d4cxc","Work","","Horologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","137 ff.","508.9 g","codex","156 x 136 x 65.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 191","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 192","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z13r2bkx","Work","","Horologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","130 ff.","276.8 g","codex","145 x 120 x 39.0 mm","Paper","","","","decorative elements: 46v, 69v","","","","","","","text","Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 192","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 207","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1001kwz","Work","","Horologion","","1644","","1644","","","","","","","","","Kamil","","","180 ff.","322.4 g","codex","152 x 115 x 43.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 207","Sinai. Old Collection","","0","","delivery 6.2"
